設立別,學程別,群科別,畢業生人數,正在接受職業訓練人數,正在軍中服役人數,需要工作而未找到人數,補習或準備升學人數,健康不良在家休養人數,準備出國人數,其他人數,正在接受職業訓練比率,正在軍中服役比率,需要工作而未找到比率,補習或準備升學比率,健康不良在家休養比率,準備出國比率,其他比率
國立,普通科,普通科,25540 ,4 ,82 ,27 ,1211 ,3 ,8 ,19 ,0.02 ,0.32 ,0.11 ,4.74 ,0.01 ,0.03 ,0.07 
國立,專業群科,機械群,3255 ,22 ,58 ,28 ,28 ,0 ,1 ,12 ,0.68 ,1.78 ,0.86 ,0.86 ,0.00 ,0.03 ,0.37 
國立,專業群科,動力機械群,945 ,4 ,39 ,12 ,4 ,1 ,0 ,8 ,0.42 ,4.13 ,1.27 ,0.42 ,0.11 ,0.00 ,0.85 
國立,專業群科,電機與電子群,3831 ,7 ,85 ,26 ,33 ,2 ,3 ,16 ,0.18 ,2.22 ,0.68 ,0.86 ,0.05 ,0.08 ,0.42 
國立,專業群科,化工群,813 ,0 ,2 ,4 ,2 ,1 ,2 ,4 ,0.00 ,0.25 ,0.49 ,0.25 ,0.12 ,0.25 ,0.49 
國立,專業群科,土木與建築群,951 ,3 ,19 ,7 ,7 ,1 ,0 ,5 ,0.32 ,2.00 ,0.74 ,0.74 ,0.11 ,0.00 ,0.53 
國立,專業群科,商業與管理群,5594 ,5 ,36 ,36 ,47 ,3 ,6 ,9 ,0.09 ,0.64 ,0.64 ,0.84 ,0.05 ,0.11 ,0.16 
國立,專業群科,外語群,910 ,0 ,3 ,0 ,5 ,0 ,0 ,0 ,0.00 ,0.33 ,0.00 ,0.55 ,0.00 ,0.00 ,0.00 
國立,專業群科,設計群,1156 ,4 ,1 ,9 ,17 ,1 ,1 ,2 ,0.35 ,0.09 ,0.78 ,1.47 ,0.09 ,0.09 ,0.17 
國立,專業群科,農業群,1428 ,9 ,18 ,36 ,8 ,0 ,1 ,6 ,0.63 ,1.26 ,2.52 ,0.56 ,0.00 ,0.07 ,0.42 
國立,專業群科,食品群,1086 ,6 ,9 ,28 ,7 ,1 ,0 ,5 ,0.55 ,0.83 ,2.58 ,0.64 ,0.09 ,0.00 ,0.46 
國立,專業群科,家政群,976 ,4 ,4 ,13 ,3 ,0 ,0 ,4 ,0.41 ,0.41 ,1.33 ,0.31 ,0.00 ,0.00 ,0.41 
國立,專業群科,餐旅群,1233 ,4 ,3 ,25 ,2 ,1 ,1 ,2 ,0.32 ,0.24 ,2.03 ,0.16 ,0.08 ,0.08 ,0.16 
國立,專業群科,水產群,205 ,3 ,13 ,5 ,1 ,0 ,0 ,2 ,1.46 ,6.34 ,2.44 ,0.49 ,0.00 ,0.00 ,0.98 
