設立別,學程別,群科別,畢業生人數,正在接受職業訓練人數,正在軍中服役人數,需要工作而未找到人數,補習或準備升學人數,健康不良在家休養人數,準備出國人數,其他人數,正在接受職業訓練比率,正在軍中服役比率,需要工作而未找到比率,補習或準備升學比率,健康不良在家休養比率,準備出國比率,其他比率
國立,專業群科,海事群,288 ,10 ,20 ,4 ,1 ,0 ,0 ,0 ,3.47 ,6.94 ,1.39 ,0.35 ,0.00 ,0.00 ,0.00 
國立,專業群科,藝術群,151 ,0 ,3 ,0 ,8 ,0 ,0 ,0 ,0.00 ,1.99 ,0.00 ,5.30 ,0.00 ,0.00 ,0.00 
國立,專業群科,服務群,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
國立,專業群科,其他(綜合),630 ,38 ,1 ,94 ,4 ,7 ,0 ,12 ,6.03 ,0.16 ,14.92 ,0.63 ,1.11 ,0.00 ,1.90 
國立,綜合高中,學術學程,3346 ,5 ,27 ,8 ,133 ,0 ,3 ,4 ,0.15 ,0.81 ,0.24 ,3.97 ,0.00 ,0.09 ,0.12 
國立,綜合高中,機械群,108 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
國立,綜合高中,動力機械群,12 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0.00 ,8.33 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
國立,綜合高中,電機與電子群,139 ,1 ,1 ,1 ,1 ,0 ,0 ,1 ,0.72 ,0.72 ,0.72 ,0.72 ,0.00 ,0.00 ,0.72 
國立,綜合高中,化工群,43 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
國立,綜合高中,土木與建築群,81 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,1.23 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
國立,綜合高中,商業與管理群,537 ,0 ,5 ,5 ,3 ,0 ,0 ,0 ,0.00 ,0.93 ,0.93 ,0.56 ,0.00 ,0.00 ,0.00 
國立,綜合高中,外語群,122 ,0 ,1 ,0 ,2 ,0 ,0 ,0 ,0.00 ,0.82 ,0.00 ,1.64 ,0.00 ,0.00 ,0.00 
國立,綜合高中,設計群,128 ,0 ,0 ,3 ,1 ,0 ,0 ,0 ,0.00 ,0.00 ,2.34 ,0.78 ,0.00 ,0.00 ,0.00 
國立,綜合高中,農業群,55 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0.00 ,0.00 ,1.82 ,0.00 ,0.00 ,0.00 ,0.00 
國立,綜合高中,食品群,143 ,0 ,2 ,0 ,0 ,0 ,0 ,0 ,0.00 ,1.40 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
國立,綜合高中,家政群,36 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
國立,綜合高中,餐旅群,295 ,1 ,3 ,2 ,2 ,0 ,0 ,1 ,0.34 ,1.02 ,0.68 ,0.68 ,0.00 ,0.00 ,0.34 
國立,綜合高中,水產群,12 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
國立,綜合高中,其他(綜合),100 ,0 ,1 ,2 ,2 ,0 ,0 ,11 ,0.00 ,1.00 ,2.00 ,2.00 ,0.00 ,0.00 ,11.00 
國立,實用技能學程,機械群,395 ,8 ,18 ,6 ,2 ,1 ,0 ,6 ,2.03 ,4.56 ,1.52 ,0.51 ,0.25 ,0.00 ,1.52 
國立,實用技能學程,動力機械群,107 ,0 ,14 ,5 ,1 ,0 ,0 ,0 ,0.00 ,13.08 ,4.67 ,0.93 ,0.00 ,0.00 ,0.00 
國立,實用技能學程,電機與電子群,292 ,0 ,17 ,11 ,1 ,4 ,0 ,3 ,0.00 ,5.82 ,3.77 ,0.34 ,1.37 ,0.00 ,1.03 
國立,實用技能學程,土木與建築群,121 ,0 ,15 ,1 ,0 ,0 ,0 ,2 ,0.00 ,12.40 ,0.83 ,0.00 ,0.00 ,0.00 ,1.65 
國立,實用技能學程,商業與管理群,415 ,0 ,12 ,12 ,5 ,5 ,0 ,1 ,0.00 ,2.89 ,2.89 ,1.20 ,1.20 ,0.00 ,0.24 
國立,實用技能學程,設計群,151 ,0 ,5 ,3 ,0 ,0 ,0 ,0 ,0.00 ,3.31 ,1.99 ,0.00 ,0.00 ,0.00 ,0.00 
國立,實用技能學程,農業群,184 ,2 ,3 ,9 ,0 ,1 ,1 ,0 ,1.09 ,1.63 ,4.89 ,0.00 ,0.54 ,0.54 ,0.00 
國立,實用技能學程,食品群,224 ,1 ,2 ,19 ,1 ,0 ,1 ,3 ,0.45 ,0.89 ,8.48 ,0.45 ,0.00 ,0.45 ,1.34 
國立,實用技能學程,餐旅群,339 ,0 ,2 ,3 ,1 ,4 ,1 ,1 ,0.00 ,0.59 ,0.88 ,0.29 ,1.18 ,0.29 ,0.29 
國立,實用技能學程,水產群,28 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
國立,實用技能學程,海事群,40 ,0 ,0 ,0 ,0 ,0 ,0 ,9 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,22.50 
國立,實用技能學程,美容造型群,168 ,0 ,0 ,5 ,0 ,0 ,0 ,0 ,0.00 ,0.00 ,2.98 ,0.00 ,0.00 ,0.00 ,0.00 
國立,進修部,普通科,109 ,0 ,13 ,1 ,4 ,0 ,0 ,8 ,0.00 ,11.93 ,0.92 ,3.67 ,0.00 ,0.00 ,7.34 
國立,進修部,機械群,322 ,0 ,25 ,8 ,1 ,1 ,1 ,4 ,0.00 ,7.76 ,2.48 ,0.31 ,0.31 ,0.31 ,1.24 
國立,進修部,動力機械群,135 ,1 ,12 ,8 ,0 ,0 ,0 ,0 ,0.74 ,8.89 ,5.93 ,0.00 ,0.00 ,0.00 ,0.00 
國立,進修部,電機與電子群,342 ,2 ,35 ,11 ,3 ,1 ,0 ,1 ,0.58 ,10.23 ,3.22 ,0.88 ,0.29 ,0.00 ,0.29 
國立,進修部,化工群,17 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0.00 ,0.00 ,0.00 ,5.88 ,0.00 ,0.00 ,0.00 
國立,進修部,土木與建築群,16 ,0 ,0 ,0 ,1 ,1 ,0 ,0 ,0.00 ,0.00 ,0.00 ,6.25 ,6.25 ,0.00 ,0.00 
國立,進修部,商業與管理群,779 ,2 ,24 ,11 ,4 ,7 ,1 ,19 ,0.26 ,3.08 ,1.41 ,0.51 ,0.90 ,0.13 ,2.44 
國立,進修部,外語群,12 ,0 ,0 ,0 ,0 ,1 ,1 ,0 ,0.00 ,0.00 ,0.00 ,0.00 ,8.33 ,8.33 ,0.00 
國立,進修部,設計群,149 ,1 ,3 ,5 ,3 ,1 ,0 ,2 ,0.67 ,2.01 ,3.36 ,2.01 ,0.67 ,0.00 ,1.34 
國立,進修部,農業群,47 ,1 ,1 ,1 ,2 ,0 ,0 ,3 ,2.13 ,2.13 ,2.13 ,4.26 ,0.00 ,0.00 ,6.38 
國立,進修部,食品群,131 ,0 ,5 ,3 ,1 ,0 ,1 ,3 ,0.00 ,3.82 ,2.29 ,0.76 ,0.00 ,0.76 ,2.29 
國立,進修部,家政群,150 ,0 ,5 ,4 ,2 ,1 ,0 ,1 ,0.00 ,3.33 ,2.67 ,1.33 ,0.67 ,0.00 ,0.67 
國立,進修部,餐旅群,146 ,0 ,1 ,6 ,2 ,0 ,0 ,2 ,0.00 ,0.68 ,4.11 ,1.37 ,0.00 ,0.00 ,1.37 
縣市立,普通科,普通科,46978 ,16 ,121 ,25 ,2009 ,9 ,35 ,27 ,0.03 ,0.26 ,0.05 ,4.28 ,0.02 ,0.07 ,0.06 
縣市立,專業群科,機械群,2402 ,27 ,36 ,16 ,33 ,1 ,1 ,2 ,1.12 ,1.50 ,0.67 ,1.37 ,0.04 ,0.04 ,0.08 
縣市立,專業群科,動力機械群,755 ,7 ,12 ,6 ,19 ,0 ,0 ,0 ,0.93 ,1.59 ,0.79 ,2.52 ,0.00 ,0.00 ,0.00 
縣市立,專業群科,電機與電子群,3629 ,7 ,12 ,8 ,61 ,0 ,1 ,9 ,0.19 ,0.33 ,0.22 ,1.68 ,0.00 ,0.03 ,0.25 
縣市立,專業群科,化工群,573 ,0 ,0 ,3 ,14 ,0 ,0 ,5 ,0.00 ,0.00 ,0.52 ,2.44 ,0.00 ,0.00 ,0.87 
縣市立,專業群科,土木與建築群,641 ,0 ,4 ,0 ,15 ,0 ,0 ,1 ,0.00 ,0.62 ,0.00 ,2.34 ,0.00 ,0.00 ,0.16 
縣市立,專業群科,商業與管理群,3540 ,0 ,9 ,5 ,20 ,2 ,3 ,3 ,0.00 ,0.25 ,0.14 ,0.56 ,0.06 ,0.08 ,0.08 
縣市立,專業群科,外語群,650 ,0 ,1 ,1 ,5 ,0 ,1 ,0 ,0.00 ,0.15 ,0.15 ,0.77 ,0.00 ,0.15 ,0.00 
縣市立,專業群科,設計群,1286 ,2 ,2 ,3 ,9 ,0 ,1 ,3 ,0.16 ,0.16 ,0.23 ,0.70 ,0.00 ,0.08 ,0.23 
縣市立,專業群科,農業群,337 ,1 ,2 ,0 ,6 ,2 ,0 ,1 ,0.30 ,0.59 ,0.00 ,1.78 ,0.59 ,0.00 ,0.30 
縣市立,專業群科,食品群,138 ,0 ,0 ,1 ,1 ,0 ,0 ,0 ,0.00 ,0.00 ,0.72 ,0.72 ,0.00 ,0.00 ,0.00 
縣市立,專業群科,家政群,389 ,0 ,0 ,0 ,7 ,0 ,3 ,0 ,0.00 ,0.00 ,0.00 ,1.80 ,0.00 ,0.77 ,0.00 
縣市立,專業群科,餐旅群,282 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
縣市立,專業群科,藝術群,55 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
縣市立,專業群科,服務群,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
縣市立,專業群科,其他(綜合),474 ,27 ,1 ,67 ,6 ,10 ,0 ,24 ,5.70 ,0.21 ,14.14 ,1.27 ,2.11 ,0.00 ,5.06 
縣市立,綜合高中,學術學程,2630 ,2 ,10 ,7 ,74 ,0 ,1 ,1 ,0.08 ,0.38 ,0.27 ,2.81 ,0.00 ,0.04 ,0.04 
縣市立,綜合高中,機械群,26 ,2 ,0 ,0 ,0 ,0 ,0 ,0 ,7.69 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
縣市立,綜合高中,電機與電子群,149 ,2 ,0 ,1 ,2 ,0 ,0 ,0 ,1.34 ,0.00 ,0.67 ,1.34 ,0.00 ,0.00 ,0.00 
縣市立,綜合高中,化工群,42 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
縣市立,綜合高中,土木與建築群,78 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0.00 ,1.28 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
縣市立,綜合高中,商業與管理群,378 ,0 ,3 ,0 ,7 ,0 ,1 ,1 ,0.00 ,0.79 ,0.00 ,1.85 ,0.00 ,0.26 ,0.26 
縣市立,綜合高中,外語群,61 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0.00 ,0.00 ,0.00 ,0.00 ,1.64 ,0.00 ,0.00 
縣市立,綜合高中,設計群,210 ,0 ,2 ,0 ,3 ,0 ,0 ,1 ,0.00 ,0.95 ,0.00 ,1.43 ,0.00 ,0.00 ,0.48 
縣市立,綜合高中,家政群,25 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0.00 ,0.00 ,0.00 ,4.00 ,0.00 ,0.00 ,0.00 
縣市立,綜合高中,餐旅群,99 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0.00 ,0.00 ,1.01 ,0.00 ,0.00 ,0.00 ,0.00 
縣市立,綜合高中,藝術群,8 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
縣市立,綜合高中,其他(綜合),1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
縣市立,實用技能學程,機械群,92 ,0 ,6 ,1 ,0 ,0 ,0 ,0 ,0.00 ,6.52 ,1.09 ,0.00 ,0.00 ,0.00 ,0.00 
縣市立,實用技能學程,動力機械群,67 ,0 ,3 ,0 ,3 ,0 ,0 ,0 ,0.00 ,4.48 ,0.00 ,4.48 ,0.00 ,0.00 ,0.00 
縣市立,實用技能學程,電機與電子群,71 ,0 ,7 ,1 ,0 ,0 ,0 ,0 ,0.00 ,9.86 ,1.41 ,0.00 ,0.00 ,0.00 ,0.00 
縣市立,實用技能學程,土木與建築群,31 ,0 ,2 ,0 ,0 ,0 ,0 ,0 ,0.00 ,6.45 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
縣市立,實用技能學程,商業與管理群,45 ,0 ,1 ,1 ,0 ,0 ,0 ,0 ,0.00 ,2.22 ,2.22 ,0.00 ,0.00 ,0.00 ,0.00 
縣市立,實用技能學程,設計群,42 ,2 ,0 ,3 ,0 ,0 ,0 ,3 ,4.76 ,0.00 ,7.14 ,0.00 ,0.00 ,0.00 ,7.14 
縣市立,實用技能學程,食品群,17 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
縣市立,實用技能學程,餐旅群,63 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0.00 ,1.59 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
縣市立,實用技能學程,美容造型群,25 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
縣市立,進修部,普通科,303 ,0 ,0 ,0 ,0 ,0 ,0 ,70 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,23.10 
縣市立,進修部,機械群,299 ,1 ,20 ,2 ,5 ,0 ,1 ,3 ,0.33 ,6.69 ,0.67 ,1.67 ,0.00 ,0.33 ,1.00 
縣市立,進修部,動力機械群,173 ,1 ,10 ,1 ,0 ,0 ,0 ,0 ,0.58 ,5.78 ,0.58 ,0.00 ,0.00 ,0.00 ,0.00 
縣市立,進修部,電機與電子群,327 ,3 ,13 ,5 ,5 ,0 ,0 ,1 ,0.92 ,3.98 ,1.53 ,1.53 ,0.00 ,0.00 ,0.31 
縣市立,進修部,化工群,44 ,0 ,1 ,0 ,0 ,0 ,0 ,2 ,0.00 ,2.27 ,0.00 ,0.00 ,0.00 ,0.00 ,4.55 
縣市立,進修部,土木與建築群,73 ,2 ,7 ,0 ,0 ,0 ,0 ,0 ,2.74 ,9.59 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
縣市立,進修部,商業與管理群,415 ,0 ,8 ,5 ,1 ,2 ,0 ,5 ,0.00 ,1.93 ,1.20 ,0.24 ,0.48 ,0.00 ,1.20 
縣市立,進修部,外語群,60 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
縣市立,進修部,設計群,76 ,1 ,0 ,2 ,2 ,0 ,0 ,0 ,1.32 ,0.00 ,2.63 ,2.63 ,0.00 ,0.00 ,0.00 
縣市立,進修部,食品群,29 ,0 ,1 ,1 ,0 ,0 ,0 ,1 ,0.00 ,3.45 ,3.45 ,0.00 ,0.00 ,0.00 ,3.45 
縣市立,進修部,家政群,9 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
縣市立,進修部,餐旅群,17 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0.00 ,5.88 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
私立,普通科,普通科,26118 ,36 ,89 ,17 ,1202 ,29 ,65 ,14 ,0.14 ,0.34 ,0.07 ,4.60 ,0.11 ,0.25 ,0.05 
私立,專業群科,機械群,1809 ,4 ,66 ,18 ,7 ,5 ,0 ,2 ,0.22 ,3.65 ,1.00 ,0.39 ,0.28 ,0.00 ,0.11 
私立,專業群科,動力機械群,4821 ,42 ,302 ,143 ,14 ,9 ,3 ,41 ,0.87 ,6.26 ,2.97 ,0.29 ,0.19 ,0.06 ,0.85 
私立,專業群科,電機與電子群,7856 ,20 ,238 ,106 ,27 ,13 ,25 ,50 ,0.25 ,3.03 ,1.35 ,0.34 ,0.17 ,0.32 ,0.64 
私立,專業群科,土木與建築群,176 ,0 ,2 ,0 ,1 ,0 ,0 ,1 ,0.00 ,1.14 ,0.00 ,0.57 ,0.00 ,0.00 ,0.57 
私立,專業群科,商業與管理群,7155 ,8 ,91 ,62 ,33 ,16 ,12 ,20 ,0.11 ,1.27 ,0.87 ,0.46 ,0.22 ,0.17 ,0.28 
私立,專業群科,外語群,5084 ,10 ,47 ,34 ,35 ,12 ,15 ,20 ,0.20 ,0.92 ,0.67 ,0.69 ,0.24 ,0.30 ,0.39 
私立,專業群科,設計群,5821 ,25 ,54 ,66 ,66 ,14 ,10 ,15 ,0.43 ,0.93 ,1.13 ,1.13 ,0.24 ,0.17 ,0.26 
私立,專業群科,食品群,170 ,1 ,3 ,6 ,0 ,1 ,0 ,3 ,0.59 ,1.76 ,3.53 ,0.00 ,0.59 ,0.00 ,1.76 
私立,專業群科,家政群,5505 ,19 ,17 ,130 ,5 ,10 ,3 ,27 ,0.35 ,0.31 ,2.36 ,0.09 ,0.18 ,0.05 ,0.49 
私立,專業群科,餐旅群,16745 ,77 ,399 ,415 ,77 ,31 ,72 ,99 ,0.46 ,2.38 ,2.48 ,0.46 ,0.19 ,0.43 ,0.59 
私立,專業群科,海事群,51 ,2 ,2 ,0 ,0 ,0 ,0 ,2 ,3.92 ,3.92 ,0.00 ,0.00 ,0.00 ,0.00 ,3.92 
私立,專業群科,藝術群,2790 ,22 ,41 ,36 ,68 ,6 ,23 ,13 ,0.79 ,1.47 ,1.29 ,2.44 ,0.22 ,0.82 ,0.47 
私立,專業群科,服務群,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
私立,專業群科,其他(綜合),392 ,33 ,2 ,61 ,2 ,8 ,0 ,9 ,8.42 ,0.51 ,15.56 ,0.51 ,2.04 ,0.00 ,2.30 
私立,綜合高中,學術學程,1196 ,5 ,6 ,1 ,46 ,0 ,3 ,1 ,0.42 ,0.50 ,0.08 ,3.85 ,0.00 ,0.25 ,0.08 
私立,綜合高中,動力機械群,27 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
私立,綜合高中,電機與電子群,481 ,0 ,13 ,1 ,4 ,0 ,0 ,0 ,0.00 ,2.70 ,0.21 ,0.83 ,0.00 ,0.00 ,0.00 
私立,綜合高中,化工群,160 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
私立,綜合高中,商業與管理群,861 ,1 ,10 ,1 ,4 ,1 ,1 ,1 ,0.12 ,1.16 ,0.12 ,0.46 ,0.12 ,0.12 ,0.12 
私立,綜合高中,外語群,706 ,2 ,4 ,0 ,6 ,1 ,2 ,1 ,0.28 ,0.57 ,0.00 ,0.85 ,0.14 ,0.28 ,0.14 
私立,綜合高中,設計群,386 ,0 ,2 ,1 ,5 ,0 ,0 ,2 ,0.00 ,0.52 ,0.26 ,1.30 ,0.00 ,0.00 ,0.52 
私立,綜合高中,家政群,276 ,0 ,1 ,3 ,0 ,1 ,0 ,1 ,0.00 ,0.36 ,1.09 ,0.00 ,0.36 ,0.00 ,0.36 
私立,綜合高中,餐旅群,760 ,0 ,14 ,16 ,1 ,1 ,3 ,2 ,0.00 ,1.84 ,2.11 ,0.13 ,0.13 ,0.39 ,0.26 
私立,綜合高中,其他(綜合),156 ,0 ,7 ,3 ,1 ,1 ,0 ,1 ,0.00 ,4.49 ,1.92 ,0.64 ,0.64 ,0.00 ,0.64 
私立,實用技能學程,機械群,113 ,5 ,4 ,3 ,0 ,0 ,0 ,0 ,4.42 ,3.54 ,2.65 ,0.00 ,0.00 ,0.00 ,0.00 
私立,實用技能學程,動力機械群,1184 ,12 ,108 ,74 ,4 ,3 ,1 ,5 ,1.01 ,9.12 ,6.25 ,0.34 ,0.25 ,0.08 ,0.42 
私立,實用技能學程,電機與電子群,601 ,1 ,40 ,22 ,1 ,0 ,2 ,9 ,0.17 ,6.66 ,3.66 ,0.17 ,0.00 ,0.33 ,1.50 
私立,實用技能學程,商業與管理群,611 ,3 ,14 ,45 ,3 ,0 ,0 ,2 ,0.49 ,2.29 ,7.36 ,0.49 ,0.00 ,0.00 ,0.33 
私立,實用技能學程,農業群,31 ,1 ,3 ,0 ,0 ,0 ,0 ,0 ,3.23 ,9.68 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
私立,實用技能學程,食品群,223 ,0 ,11 ,17 ,0 ,3 ,1 ,0 ,0.00 ,4.93 ,7.62 ,0.00 ,1.35 ,0.45 ,0.00 
私立,實用技能學程,餐旅群,3080 ,16 ,98 ,192 ,13 ,9 ,1 ,18 ,0.52 ,3.18 ,6.23 ,0.42 ,0.29 ,0.03 ,0.58 
私立,實用技能學程,藝術群,46 ,1 ,0 ,1 ,0 ,0 ,0 ,0 ,2.17 ,0.00 ,2.17 ,0.00 ,0.00 ,0.00 ,0.00 
私立,實用技能學程,美容造型群,969 ,19 ,7 ,75 ,7 ,5 ,0 ,5 ,1.96 ,0.72 ,7.74 ,0.72 ,0.52 ,0.00 ,0.52 
私立,進修部,普通科,274 ,0 ,8 ,12 ,1 ,0 ,0 ,51 ,0.00 ,2.92 ,4.38 ,0.36 ,0.00 ,0.00 ,18.61 
私立,進修部,機械群,87 ,0 ,9 ,6 ,0 ,0 ,0 ,0 ,0.00 ,10.34 ,6.90 ,0.00 ,0.00 ,0.00 ,0.00 
私立,進修部,動力機械群,648 ,0 ,19 ,39 ,1 ,3 ,0 ,1 ,0.00 ,2.93 ,6.02 ,0.15 ,0.46 ,0.00 ,0.15 
私立,進修部,電機與電子群,330 ,16 ,22 ,4 ,1 ,3 ,0 ,2 ,4.85 ,6.67 ,1.21 ,0.30 ,0.91 ,0.00 ,0.61 
私立,進修部,商業與管理群,1290 ,4 ,51 ,80 ,15 ,10 ,7 ,57 ,0.31 ,3.95 ,6.20 ,1.16 ,0.78 ,0.54 ,4.42 
私立,進修部,外語群,163 ,0 ,4 ,15 ,5 ,2 ,5 ,0 ,0.00 ,2.45 ,9.20 ,3.07 ,1.23 ,3.07 ,0.00 
私立,進修部,設計群,369 ,0 ,2 ,19 ,0 ,0 ,2 ,5 ,0.00 ,0.54 ,5.15 ,0.00 ,0.00 ,0.54 ,1.36 
私立,進修部,家政群,1114 ,7 ,9 ,55 ,2 ,3 ,0 ,13 ,0.63 ,0.81 ,4.94 ,0.18 ,0.27 ,0.00 ,1.17 
私立,進修部,餐旅群,3202 ,19 ,78 ,160 ,9 ,13 ,0 ,49 ,0.59 ,2.44 ,5.00 ,0.28 ,0.41 ,0.00 ,1.53 
私立,進修部,藝術群,103 ,0 ,3 ,10 ,1 ,0 ,0 ,1 ,0.00 ,2.91 ,9.71 ,0.97 ,0.00 ,0.00 ,0.97 
