設立別,學程別,群科別,畢業生人數,正在接受職業訓練人數,正在軍中服役人數,需要工作而未找到人數,補習或準備升學人數,健康不良在家休養人數,準備出國人數,其他人數,正在接受職業訓練比率,正在軍中服役比率,需要工作而未找到比率,補習或準備升學比率,健康不良在家休養比率,準備出國比率,其他比率
國立,普通科,普通科,25395 ,17 ,76 ,14 ,893 ,6 ,9 ,75 ,0.07 ,0.30 ,0.06 ,3.52 ,0.02 ,0.04 ,0.30 
國立,專業群科,機械群,3201 ,11 ,79 ,49 ,48 ,2 ,0 ,7 ,0.34 ,2.47 ,1.53 ,1.50 ,0.06 ,0.00 ,0.22 
國立,專業群科,動力機械群,996 ,2 ,69 ,33 ,9 ,1 ,0 ,3 ,0.20 ,6.93 ,3.31 ,0.90 ,0.10 ,0.00 ,0.30 
國立,專業群科,電機與電子群,3672 ,14 ,94 ,18 ,45 ,8 ,4 ,13 ,0.38 ,2.56 ,0.49 ,1.23 ,0.22 ,0.11 ,0.35 
國立,專業群科,化工群,836 ,0 ,11 ,8 ,6 ,1 ,1 ,1 ,0.00 ,1.32 ,0.96 ,0.72 ,0.12 ,0.12 ,0.12 
國立,專業群科,土木與建築群,949 ,2 ,14 ,15 ,23 ,1 ,0 ,10 ,0.21 ,1.48 ,1.58 ,2.42 ,0.11 ,0.00 ,1.05 
國立,專業群科,商業與管理群,5553 ,4 ,53 ,17 ,48 ,1 ,2 ,18 ,0.07 ,0.95 ,0.31 ,0.86 ,0.02 ,0.04 ,0.32 
國立,專業群科,外語群,884 ,0 ,2 ,2 ,6 ,1 ,0 ,0 ,0.00 ,0.23 ,0.23 ,0.68 ,0.11 ,0.00 ,0.00 
國立,專業群科,設計群,1065 ,5 ,9 ,12 ,15 ,0 ,0 ,1 ,0.47 ,0.85 ,1.13 ,1.41 ,0.00 ,0.00 ,0.09 
國立,專業群科,農業群,1414 ,4 ,24 ,42 ,8 ,4 ,0 ,10 ,0.28 ,1.70 ,2.97 ,0.57 ,0.28 ,0.00 ,0.71 
國立,專業群科,食品群,1097 ,6 ,19 ,22 ,11 ,2 ,1 ,8 ,0.55 ,1.73 ,2.01 ,1.00 ,0.18 ,0.09 ,0.73 
國立,專業群科,家政群,1010 ,4 ,2 ,8 ,4 ,0 ,3 ,4 ,0.40 ,0.20 ,0.79 ,0.40 ,0.00 ,0.30 ,0.40 
國立,專業群科,餐旅群,1139 ,2 ,17 ,8 ,6 ,1 ,0 ,0 ,0.18 ,1.49 ,0.70 ,0.53 ,0.09 ,0.00 ,0.00 
國立,專業群科,水產群,211 ,1 ,10 ,5 ,0 ,0 ,0 ,2 ,0.47 ,4.74 ,2.37 ,0.00 ,0.00 ,0.00 ,0.95 
國立,專業群科,海事群,252 ,1 ,14 ,7 ,1 ,1 ,0 ,4 ,0.40 ,5.56 ,2.78 ,0.40 ,0.40 ,0.00 ,1.59 
國立,專業群科,藝術群,146 ,0 ,3 ,0 ,0 ,0 ,0 ,10 ,0.00 ,2.05 ,0.00 ,0.00 ,0.00 ,0.00 ,6.85 
國立,專業群科,綜合,607 ,26 ,2 ,102 ,2 ,3 ,0 ,8 ,4.28 ,0.33 ,16.80 ,0.33 ,0.49 ,0.00 ,1.32 
國立,綜合高中,學術群,3403 ,9 ,16 ,6 ,74 ,0 ,0 ,5 ,0.26 ,0.47 ,0.18 ,2.17 ,0.00 ,0.00 ,0.15 
國立,綜合高中,機械群,176 ,0 ,5 ,0 ,3 ,0 ,0 ,0 ,0.00 ,2.84 ,0.00 ,1.70 ,0.00 ,0.00 ,0.00 
國立,綜合高中,動力機械群,7 ,0 ,0 ,2 ,0 ,0 ,0 ,0 ,0.00 ,0.00 ,28.57 ,0.00 ,0.00 ,0.00 ,0.00 
國立,綜合高中,電機與電子群,266 ,1 ,4 ,1 ,0 ,0 ,0 ,1 ,0.38 ,1.50 ,0.38 ,0.00 ,0.00 ,0.00 ,0.38 
國立,綜合高中,化工群,52 ,2 ,2 ,0 ,1 ,0 ,0 ,0 ,3.85 ,3.85 ,0.00 ,1.92 ,0.00 ,0.00 ,0.00 
