設立別,學程別,群科別,畢業生人數,正在接受職業訓練人數,正在軍中服役人數,需要工作而未找到人數,補習或準備升學人數,健康不良在家休養人數,準備出國人數,其他人數,正在接受職業訓練比率,正在軍中服役比率,需要工作而未找到比率,補習或準備升學比率,健康不良在家休養比率,準備出國比率,其他比率
國立,普通科,普通科,24428 ,6 ,53 ,20 ,817 ,12 ,9 ,16 ,0.02 ,0.22 ,0.08 ,3.34 ,0.05 ,0.04 ,0.07 
國立,專業群科,機械群,3182 ,10 ,53 ,20 ,23 ,2 ,0 ,6 ,0.31 ,1.67 ,0.63 ,0.72 ,0.06 ,0.00 ,0.19 
國立,專業群科,動力機械群,953 ,3 ,34 ,15 ,8 ,1 ,0 ,11 ,0.31 ,3.57 ,1.57 ,0.84 ,0.10 ,0.00 ,1.15 
國立,專業群科,電機與電子群,3632 ,5 ,59 ,25 ,37 ,0 ,0 ,15 ,0.14 ,1.62 ,0.69 ,1.02 ,0.00 ,0.00 ,0.41 
國立,專業群科,化工群,733 ,0 ,9 ,2 ,2 ,0 ,1 ,0 ,0.00 ,1.23 ,0.27 ,0.27 ,0.00 ,0.14 ,0.00 
國立,專業群科,土木與建築群,894 ,2 ,15 ,6 ,11 ,3 ,0 ,2 ,0.22 ,1.68 ,0.67 ,1.23 ,0.34 ,0.00 ,0.22 
國立,專業群科,商業與管理群,5206 ,3 ,23 ,32 ,33 ,4 ,0 ,14 ,0.06 ,0.44 ,0.61 ,0.63 ,0.08 ,0.00 ,0.27 
國立,專業群科,外語群,885 ,0 ,0 ,3 ,6 ,0 ,0 ,2 ,0.00 ,0.00 ,0.34 ,0.68 ,0.00 ,0.00 ,0.23 
國立,專業群科,設計群,1099 ,1 ,3 ,17 ,11 ,2 ,0 ,1 ,0.09 ,0.27 ,1.55 ,1.00 ,0.18 ,0.00 ,0.09 
國立,專業群科,農業群,1262 ,1 ,8 ,20 ,2 ,3 ,0 ,2 ,0.08 ,0.63 ,1.58 ,0.16 ,0.24 ,0.00 ,0.16 
國立,專業群科,食品群,1008 ,3 ,4 ,15 ,3 ,3 ,0 ,3 ,0.30 ,0.40 ,1.49 ,0.30 ,0.30 ,0.00 ,0.30 
國立,專業群科,家政群,903 ,0 ,3 ,6 ,4 ,0 ,2 ,11 ,0.00 ,0.33 ,0.66 ,0.44 ,0.00 ,0.22 ,1.22 
國立,專業群科,餐旅群,1141 ,1 ,6 ,12 ,5 ,0 ,0 ,6 ,0.09 ,0.53 ,1.05 ,0.44 ,0.00 ,0.00 ,0.53 
國立,專業群科,水產群,163 ,0 ,6 ,6 ,0 ,0 ,0 ,4 ,0.00 ,3.68 ,3.68 ,0.00 ,0.00 ,0.00 ,2.45 
國立,專業群科,海事群,250 ,0 ,10 ,2 ,2 ,2 ,0 ,6 ,0.00 ,4.00 ,0.80 ,0.80 ,0.80 ,0.00 ,2.40 
國立,專業群科,藝術群,135 ,0 ,3 ,0 ,0 ,0 ,0 ,0 ,0.00 ,2.22 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
國立,專業群科,服務群,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
國立,專業群科,其他(綜合),637 ,46 ,3 ,98 ,1 ,14 ,0 ,23 ,7.22 ,0.47 ,15.38 ,0.16 ,2.20 ,0.00 ,3.61 
國立,綜合高中,學術學程,3084 ,1 ,8 ,4 ,85 ,0 ,1 ,4 ,0.03 ,0.26 ,0.13 ,2.76 ,0.00 ,0.03 ,0.13 
國立,綜合高中,機械群,121 ,0 ,2 ,0 ,0 ,0 ,0 ,0 ,0.00 ,1.65 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
國立,綜合高中,動力機械群,13 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0.00 ,7.69 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
國立,綜合高中,電機與電子群,120 ,0 ,3 ,1 ,0 ,0 ,0 ,0 ,0.00 ,2.50 ,0.83 ,0.00 ,0.00 ,0.00 ,0.00 
國立,綜合高中,化工群,43 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0.00 ,2.33 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
國立,綜合高中,土木與建築群,92 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0.00 ,1.09 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
國立,綜合高中,商業與管理群,447 ,0 ,0 ,2 ,5 ,0 ,0 ,0 ,0.00 ,0.00 ,0.45 ,1.12 ,0.00 ,0.00 ,0.00 
國立,綜合高中,外語群,154 ,1 ,0 ,2 ,2 ,0 ,0 ,0 ,0.65 ,0.00 ,1.30 ,1.30 ,0.00 ,0.00 ,0.00 
國立,綜合高中,設計群,95 ,0 ,0 ,1 ,3 ,0 ,0 ,0 ,0.00 ,0.00 ,1.05 ,3.16 ,0.00 ,0.00 ,0.00 
國立,綜合高中,農業群,49 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
國立,綜合高中,食品群,95 ,0 ,0 ,1 ,0 ,0 ,0 ,1 ,0.00 ,0.00 ,1.05 ,0.00 ,0.00 ,0.00 ,1.05 
國立,綜合高中,家政群,19 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
國立,綜合高中,餐旅群,308 ,1 ,4 ,1 ,0 ,0 ,0 ,1 ,0.32 ,1.30 ,0.32 ,0.00 ,0.00 ,0.00 ,0.32 
國立,綜合高中,水產群,21 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0.00 ,0.00 ,0.00 ,4.76 ,0.00 ,0.00 ,0.00 
