"學年度","設立別","學程別","群科別","畢業生人數","正在接受職業訓練人數","正在軍中服役人數","需要工作而未找到人數","補習或準備升學人數","健康不良在家休養人數","準備出國人數","其他人數","正在接受職業訓練比率","正在軍中服役比率","需要工作而未找到比率","補習或準備升學比率","健康不良在家休養比率","準備出國比率","其他比率"
110,國立,普通科,學術群,22305,12,27,11,406,5,5,33,0.0537995965030262,0.121049092131809,0.0493162967944407,1.82021968168572,0.0224164985429276,0.0224164985429276,0.147948890383322
110,國立,專業群科,機械群,2697,5,39,24,14,6,0,3,0.185391175380052,1.4460511679644,0.889877641824249,0.519095291064145,0.222469410456062,0,0.111234705228031
110,國立,專業群科,動力機械群,832,1,12,15,4,1,1,5,0.120192307692308,1.44230769230769,1.80288461538462,0.480769230769231,0.120192307692308,0.120192307692308,0.600961538461539
110,國立,專業群科,電機與電子群,3323,5,65,31,15,1,1,19,0.150466445982546,1.9560637977731,0.932891965091785,0.451399337947638,0.0300932891965092,0.0300932891965092,0.571772494733674
110,國立,專業群科,化工群,673,0,5,2,2,1,0,1,0,0.742942050520059,0.297176820208024,0.297176820208024,0.148588410104012,0,0.148588410104012
110,國立,專業群科,土木與建築群,805,1,12,14,3,0,1,2,0.124223602484472,1.49068322981366,1.73913043478261,0.372670807453416,0,0.124223602484472,0.248447204968944
110,國立,專業群科,商業與管理群,4602,7,17,43,20,3,0,23,0.152107779226423,0.369404606692742,0.934376358105172,0.434593654932638,0.0651890482398957,0,0.499782703172534
110,國立,專業群科,外語群,780,2,0,2,1,0,1,0,0.256410256410256,0,0.256410256410256,0.128205128205128,0,0.128205128205128,0
110,國立,專業群科,設計群,1107,1,1,9,11,1,0,1,0.0903342366757001,0.0903342366757001,0.813008130081301,0.993676603432701,0.0903342366757001,0,0.0903342366757001
110,國立,專業群科,農業群,1138,2,8,21,3,1,0,2,0.175746924428822,0.70298769771529,1.84534270650264,0.263620386643234,0.0878734622144112,0,0.175746924428822
110,國立,專業群科,食品群,897,0,4,24,2,0,0,3,0,0.445930880713489,2.67558528428094,0.222965440356745,0,0,0.334448160535117
110,國立,專業群科,家政群,822,1,0,7,0,1,1,2,0.121654501216545,0,0.851581508515815,0,0.121654501216545,0.121654501216545,0.24330900243309
110,國立,專業群科,餐旅群,1140,2,8,17,6,3,0,11,0.175438596491228,0.701754385964912,1.49122807017544,0.526315789473684,0.263157894736842,0,0.964912280701754
110,國立,專業群科,水產群,105,1,1,2,0,0,0,1,0.952380952380952,0.952380952380952,1.9047619047619,0,0,0,0.952380952380952
110,國立,專業群科,海事群,219,14,4,2,0,1,0,2,6.39269406392694,1.82648401826484,0.91324200913242,0,0.45662100456621,0,0.91324200913242
110,國立,專業群科,藝術群,139,5,1,0,0,0,0,1,3.59712230215827,0.719424460431655,0,0,0,0,0.719424460431655
110,國立,專業群科,服務群,567,27,3,61,1,6,0,16,4.76190476190476,0.529100529100529,10.7583774250441,0.17636684303351,1.05820105820106,0,2.82186948853616
110,國立,綜合高中,學術群,2819,0,3,4,26,1,0,4,0,0.106420716566158,0.141894288754878,0.922312876906704,0.0354735721887194,0,0.141894288754878
110,國立,綜合高中,機械群,65,0,0,0,1,0,0,0,0,0,0,1.53846153846154,0,0,0
110,國立,綜合高中,電機與電子群,122,0,0,0,2,0,0,0,0,0,0,1.63934426229508,0,0,0
110,國立,綜合高中,化工群,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,國立,綜合高中,土木與建築群,48,0,0,0,1,0,0,0,0,0,0,2.08333333333333,0,0,0
110,國立,綜合高中,商業與管理群,316,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,國立,綜合高中,外語群,110,0,2,0,0,0,0,0,0,1.81818181818182,0,0,0,0,0
110,國立,綜合高中,設計群,38,0,0,1,0,0,0,0,0,0,2.63157894736842,0,0,0,0
110,國立,綜合高中,農業群,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,國立,綜合高中,食品群,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,國立,綜合高中,餐旅群,117,6,1,0,1,0,0,0,5.12820512820513,0.854700854700855,0,0.854700854700855,0,0,0
110,國立,綜合高中,水產群,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,國立,綜合高中,綜合,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,國立,實用技能學程,機械群,290,0,14,4,0,1,0,1,0,4.82758620689655,1.37931034482759,0,0.344827586206897,0,0.344827586206897
110,國立,實用技能學程,動力機械群,111,1,5,6,1,1,0,0,0.900900900900901,4.5045045045045,5.40540540540541,0.900900900900901,0.900900900900901,0,0
110,國立,實用技能學程,電機與電子群,212,0,5,8,3,0,0,1,0,2.35849056603774,3.77358490566038,1.41509433962264,0,0,0.471698113207547
110,國立,實用技能學程,土木與建築群,52,0,1,0,1,0,0,0,0,1.92307692307692,0,1.92307692307692,0,0,0
110,國立,實用技能學程,商業與管理群,228,0,7,4,4,0,0,2,0,3.07017543859649,1.75438596491228,1.75438596491228,0,0,0.87719298245614
110,國立,實用技能學程,設計群,87,0,0,2,0,1,0,0,0,0,2.29885057471264,0,1.14942528735632,0,0
110,國立,實用技能學程,農業群,116,0,0,3,1,0,1,0,0,0,2.58620689655172,0.862068965517241,0,0.862068965517241,0
110,國立,實用技能學程,食品群,166,2,1,11,0,0,0,0,1.20481927710843,0.602409638554217,6.62650602409639,0,0,0,0
110,國立,實用技能學程,餐旅群,276,5,2,5,0,2,0,3,1.81159420289855,0.72463768115942,1.81159420289855,0,0.72463768115942,0,1.08695652173913
110,國立,實用技能學程,水產群,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,國立,實用技能學程,海事群,16,0,0,3,0,0,0,2,0,0,18.75,0,0,0,12.5
110,國立,實用技能學程,美容造型群,127,0,0,2,0,0,0,0,0,0,1.5748031496063,0,0,0,0
110,國立,進修部,學術群,77,0,0,2,0,0,0,10,0,0,2.5974025974026,0,0,0,12.987012987013
110,國立,進修部,機械群,207,2,7,3,0,1,0,1,0.966183574879227,3.38164251207729,1.44927536231884,0,0.483091787439614,0,0.483091787439614
110,國立,進修部,動力機械群,84,0,3,1,0,0,0,1,0,3.57142857142857,1.19047619047619,0,0,0,1.19047619047619
110,國立,進修部,電機與電子群,223,1,7,2,1,1,2,0,0.448430493273543,3.1390134529148,0.896860986547085,0.448430493273543,0.448430493273543,0.896860986547085,0
110,國立,進修部,化工群,15,0,1,1,0,0,0,1,0,6.66666666666667,6.66666666666667,0,0,0,6.66666666666667
110,國立,進修部,土木與建築群,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,國立,進修部,商業與管理群,562,2,9,26,5,4,0,27,0.355871886120996,1.60142348754448,4.62633451957295,0.889679715302491,0.711743772241993,0,4.80427046263345
110,國立,進修部,設計群,94,0,0,2,2,0,0,0,0,0,2.12765957446809,2.12765957446809,0,0,0
110,國立,進修部,農業群,36,0,2,3,0,2,0,1,0,5.55555555555556,8.33333333333333,0,5.55555555555556,0,2.77777777777778
110,國立,進修部,食品群,90,0,2,0,0,0,0,11,0,2.22222222222222,0,0,0,0,12.2222222222222
110,國立,進修部,家政群,95,0,0,4,0,2,0,0,0,0,4.21052631578947,0,2.10526315789474,0,0
110,國立,進修部,餐旅群,113,0,1,1,0,0,0,0,0,0.884955752212389,0.884955752212389,0,0,0,0
110,縣市立,普通科,學術群,44368,25,45,15,656,2,19,50,0.0563469166967184,0.101424450054093,0.033808150018031,1.47854309412189,0.00450775333573747,0.042823656689506,0.112693833393437
110,縣市立,專業群科,機械群,1962,4,23,2,27,0,2,4,0.203873598369011,1.17227319062181,0.101936799184506,1.37614678899083,0,0.101936799184506,0.203873598369011
110,縣市立,專業群科,動力機械群,649,1,6,3,10,0,0,1,0.154083204930663,0.924499229583975,0.462249614791988,1.54083204930663,0,0,0.154083204930663
110,縣市立,專業群科,電機與電子群,3234,4,13,11,33,0,2,6,0.123685837971552,0.401978973407545,0.340136054421769,1.02040816326531,0,0.0618429189857761,0.185528756957328
110,縣市立,專業群科,化工群,465,0,4,0,1,0,0,0,0,0.860215053763441,0,0.21505376344086,0,0,0
110,縣市立,專業群科,土木與建築群,564,0,1,1,9,0,0,0,0,0.177304964539007,0.177304964539007,1.59574468085106,0,0,0
110,縣市立,專業群科,商業與管理群,3323,2,6,3,7,0,0,1,0.0601865783930184,0.180559735179055,0.0902798675895275,0.210653024375564,0,0,0.0300932891965092
110,縣市立,專業群科,外語群,530,1,3,0,6,0,1,0,0.188679245283019,0.566037735849057,0,1.13207547169811,0,0.188679245283019,0
110,縣市立,專業群科,設計群,1173,0,0,3,10,3,1,0,0,0,0.255754475703325,0.852514919011083,0.255754475703325,0.0852514919011083,0
110,縣市立,專業群科,農業群,282,0,0,2,0,0,0,1,0,0,0.709219858156028,0,0,0,0.354609929078014
110,縣市立,專業群科,食品群,120,0,0,0,2,0,0,0,0,0,0,1.66666666666667,0,0,0
110,縣市立,專業群科,家政群,395,0,0,1,2,0,0,0,0,0,0.253164556962025,0.506329113924051,0,0,0
110,縣市立,專業群科,餐旅群,233,0,0,0,1,0,0,0,0,0,0,0.429184549356223,0,0,0
110,縣市立,專業群科,藝術群,103,0,2,0,2,0,0,0,0,1.94174757281553,0,1.94174757281553,0,0,0
110,縣市立,專業群科,服務群,488,28,2,64,5,14,0,25,5.73770491803279,0.409836065573771,13.1147540983607,1.02459016393443,2.86885245901639,0,5.12295081967213
110,縣市立,綜合高中,學術群,1411,1,3,3,27,2,1,0,0.070871722182849,0.212615166548547,0.212615166548547,1.91353649893692,0.141743444365698,0.070871722182849,0
110,縣市立,綜合高中,機械群,22,0,0,0,2,0,0,0,0,0,0,9.09090909090909,0,0,0
110,縣市立,綜合高中,電機與電子群,95,0,0,0,1,0,0,0,0,0,0,1.05263157894737,0,0,0
110,縣市立,綜合高中,化工群,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,縣市立,綜合高中,土木與建築群,40,0,1,0,1,0,0,0,0,2.5,0,2.5,0,0,0
110,縣市立,綜合高中,商業與管理群,147,1,1,0,0,0,0,0,0.680272108843537,0.680272108843537,0,0,0,0,0
110,縣市立,綜合高中,外語群,16,0,0,0,9,0,0,0,0,0,0,56.25,0,0,0
110,縣市立,綜合高中,設計群,97,0,0,1,0,0,0,0,0,0,1.03092783505155,0,0,0,0
110,縣市立,綜合高中,農業群,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,縣市立,綜合高中,餐旅群,83,0,2,3,5,0,0,0,0,2.40963855421687,3.6144578313253,6.02409638554217,0,0,0
110,縣市立,綜合高中,藝術群,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,縣市立,綜合高中,綜合,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,縣市立,實用技能學程,機械群,56,0,2,1,0,0,0,0,0,3.57142857142857,1.78571428571429,0,0,0,0
110,縣市立,實用技能學程,動力機械群,34,1,2,0,0,0,0,0,2.94117647058824,5.88235294117647,0,0,0,0,0
110,縣市立,實用技能學程,電機與電子群,94,2,0,3,2,0,0,0,2.12765957446809,0,3.19148936170213,2.12765957446809,0,0,0
110,縣市立,實用技能學程,土木與建築群,4,0,0,1,0,0,0,0,0,0,25,0,0,0,0
110,縣市立,實用技能學程,商業與管理群,29,0,2,0,1,0,0,2,0,6.89655172413793,0,3.44827586206897,0,0,6.89655172413793
110,縣市立,實用技能學程,設計群,10,0,0,0,0,0,0,1,0,0,0,0,0,0,10
110,縣市立,實用技能學程,食品群,16,0,0,0,0,1,0,0,0,0,0,0,6.25,0,0
110,縣市立,實用技能學程,餐旅群,39,0,0,0,0,0,2,0,0,0,0,0,0,5.12820512820513,0
110,縣市立,進修部,學術群,256,0,1,3,0,1,0,74,0,0.390625,1.171875,0,0.390625,0,28.90625
110,縣市立,進修部,機械群,138,1,5,2,1,0,1,0,0.72463768115942,3.6231884057971,1.44927536231884,0.72463768115942,0,0.72463768115942,0
110,縣市立,進修部,動力機械群,123,0,6,1,2,0,0,0,0,4.8780487804878,0.813008130081301,1.6260162601626,0,0,0
110,縣市立,進修部,電機與電子群,190,2,6,1,1,1,0,3,1.05263157894737,3.15789473684211,0.526315789473684,0.526315789473684,0.526315789473684,0,1.57894736842105
110,縣市立,進修部,化工群,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,縣市立,進修部,土木與建築群,43,0,1,0,1,0,0,1,0,2.32558139534884,0,2.32558139534884,0,0,2.32558139534884
110,縣市立,進修部,商業與管理群,229,1,2,12,4,1,0,3,0.436681222707424,0.873362445414847,5.24017467248908,1.74672489082969,0.436681222707424,0,1.31004366812227
110,縣市立,進修部,外語群,10,0,0,0,0,0,1,0,0,0,0,0,0,10,0
110,縣市立,進修部,設計群,38,1,0,1,2,1,0,0,2.63157894736842,0,2.63157894736842,5.26315789473684,2.63157894736842,0,0
110,縣市立,進修部,食品群,30,0,1,1,0,2,0,0,0,3.33333333333333,3.33333333333333,0,6.66666666666667,0,0
110,縣市立,進修部,家政群,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,縣市立,進修部,餐旅群,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,私立,普通科,學術群,21239,12,40,24,332,8,45,11,0.056499835208814,0.18833278402938,0.112999670417628,1.56316210744385,0.037666556805876,0.211874382033052,0.0517915156080795
110,私立,專業群科,機械群,998,2,24,5,1,1,1,2,0.200400801603206,2.40480961923848,0.501002004008016,0.100200400801603,0.100200400801603,0.100200400801603,0.200400801603206
110,私立,專業群科,動力機械群,2474,11,90,48,4,5,1,5,0.444624090541633,3.63783346806791,1.94017784963622,0.161681487469685,0.202101859337106,0.0404203718674212,0.202101859337106
110,私立,專業群科,電機與電子群,4521,11,82,51,14,9,1,36,0.24330900243309,1.81375801813758,1.12806901128069,0.30966600309666,0.19907100199071,0.02211900022119,0.79628400796284
110,私立,專業群科,土木與建築群,100,0,3,2,1,0,0,1,0,3,2,1,0,0,1
110,私立,專業群科,商業與管理群,4603,16,54,63,10,7,11,14,0.347599391701065,1.17314794699109,1.36867260482294,0.217249619813165,0.152074733869216,0.238974581794482,0.304149467738431
110,私立,專業群科,外語群,3093,14,12,11,17,2,4,9,0.452634982217911,0.387972841901067,0.355641771742645,0.549628192693178,0.0646621403168445,0.129324280633689,0.2909796314258
110,私立,專業群科,設計群,3620,12,15,41,16,12,3,10,0.331491712707182,0.414364640883978,1.13259668508287,0.441988950276243,0.331491712707182,0.0828729281767956,0.276243093922652
110,私立,專業群科,農業群,43,0,0,2,2,0,0,0,0,0,4.65116279069767,4.65116279069767,0,0,0
110,私立,專業群科,食品群,153,1,8,3,0,0,0,3,0.65359477124183,5.22875816993464,1.96078431372549,0,0,0,1.96078431372549
110,私立,專業群科,家政群,3675,16,6,131,28,23,3,34,0.435374149659864,0.163265306122449,3.56462585034014,0.761904761904762,0.625850340136054,0.0816326530612245,0.925170068027211
110,私立,專業群科,餐旅群,9340,22,120,227,22,8,19,84,0.235546038543897,1.2847965738758,2.43040685224839,0.235546038543897,0.0856531049250535,0.203426124197002,0.899357601713062
110,私立,專業群科,海事群,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,私立,專業群科,藝術群,1904,6,22,8,39,5,11,9,0.315126050420168,1.15546218487395,0.420168067226891,2.04831932773109,0.262605042016807,0.577731092436975,0.472689075630252
110,私立,專業群科,服務群,270,25,0,33,1,7,0,7,9.25925925925926,0,12.2222222222222,0.37037037037037,2.59259259259259,0,2.59259259259259
110,私立,綜合高中,學術群,539,0,1,1,2,1,1,0,0,0.185528756957328,0.185528756957328,0.371057513914657,0.185528756957328,0.185528756957328,0
110,私立,綜合高中,電機與電子群,179,6,1,0,2,0,0,0,3.35195530726257,0.558659217877095,0,1.11731843575419,0,0,0
110,私立,綜合高中,化工群,139,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,私立,綜合高中,商業與管理群,288,0,0,0,1,0,0,0,0,0,0,0.347222222222222,0,0,0
110,私立,綜合高中,外語群,202,0,1,1,0,1,3,0,0,0.495049504950495,0.495049504950495,0,0.495049504950495,1.48514851485149,0
110,私立,綜合高中,設計群,65,0,1,1,0,0,0,0,0,1.53846153846154,1.53846153846154,0,0,0,0
110,私立,綜合高中,家政群,117,0,0,0,0,2,0,0,0,0,0,0,1.70940170940171,0,0
110,私立,綜合高中,餐旅群,203,3,2,0,2,3,0,2,1.47783251231527,0.985221674876847,0,0.985221674876847,1.47783251231527,0,0.985221674876847
110,私立,綜合高中,綜合,21,0,1,0,0,0,0,2,0,4.76190476190476,0,0,0,0,9.52380952380952
110,私立,實用技能學程,機械群,68,1,1,5,0,0,0,0,1.47058823529412,1.47058823529412,7.35294117647059,0,0,0,0
110,私立,實用技能學程,動力機械群,770,1,58,15,1,1,0,1,0.12987012987013,7.53246753246753,1.94805194805195,0.12987012987013,0.12987012987013,0,0.12987012987013
110,私立,實用技能學程,電機與電子群,601,0,19,12,2,0,0,4,0,3.16139767054908,1.99667221297837,0.332778702163062,0,0,0.665557404326123
110,私立,實用技能學程,商業與管理群,295,1,0,3,0,5,0,0,0.338983050847458,0,1.01694915254237,0,1.69491525423729,0,0
110,私立,實用技能學程,設計群,74,0,0,4,0,0,0,0,0,0,5.40540540540541,0,0,0,0
110,私立,實用技能學程,農業群,85,0,0,2,0,0,0,0,0,0,2.35294117647059,0,0,0,0
110,私立,實用技能學程,食品群,202,0,5,12,0,1,0,2,0,2.47524752475248,5.94059405940594,0,0.495049504950495,0,0.99009900990099
110,私立,實用技能學程,餐旅群,2320,7,67,137,8,4,1,12,0.301724137931034,2.88793103448276,5.9051724137931,0.344827586206897,0.172413793103448,0.0431034482758621,0.517241379310345
110,私立,實用技能學程,藝術群,102,7,0,2,0,0,0,0,6.86274509803922,0,1.96078431372549,0,0,0,0
110,私立,實用技能學程,美容造型群,591,2,0,39,1,2,1,2,0.338409475465313,0,6.5989847715736,0.169204737732657,0.338409475465313,0.169204737732657,0.338409475465313
110,私立,進修部,學術群,117,0,2,0,0,0,0,39,0,1.70940170940171,0,0,0,0,33.3333333333333
110,私立,進修部,機械群,63,0,4,0,0,0,0,0,0,6.34920634920635,0,0,0,0,0
110,私立,進修部,動力機械群,255,0,9,15,1,0,0,1,0,3.52941176470588,5.88235294117647,0.392156862745098,0,0,0.392156862745098
110,私立,進修部,電機與電子群,131,2,4,5,1,1,0,1,1.52671755725191,3.05343511450382,3.81679389312977,0.763358778625954,0.763358778625954,0,0.763358778625954
110,私立,進修部,商業與管理群,1063,3,19,70,3,4,2,41,0.282220131702728,1.78739416745061,6.58513640639699,0.282220131702728,0.376293508936971,0.188146754468485,3.85700846660395
110,私立,進修部,外語群,144,0,3,3,1,0,0,4,0,2.08333333333333,2.08333333333333,0.694444444444444,0,0,2.77777777777778
110,私立,進修部,設計群,217,1,1,2,2,3,1,7,0.460829493087558,0.460829493087558,0.921658986175115,0.921658986175115,1.38248847926267,0.460829493087558,3.2258064516129
110,私立,進修部,家政群,697,4,5,30,0,3,0,4,0.573888091822095,0.717360114777618,4.30416068866571,0,0.430416068866571,0,0.573888091822095
110,私立,進修部,餐旅群,2280,9,53,82,11,13,4,16,0.394736842105263,2.32456140350877,3.59649122807018,0.482456140350877,0.570175438596491,0.175438596491228,0.701754385964912
110,私立,進修部,藝術群,71,0,2,1,0,3,0,0,0,2.8169014084507,1.40845070422535,0,4.22535211267606,0,0
