"學年度","設立別","學校所在地別","畢業生人數","正在接受職業訓練人數","正在軍中服役人數","需要工作而未找到人數","補習或準備升學人數","健康不良在家休養人數","準備出國人數","其他人數","正在接受職業訓練比率","正在軍中服役比率","需要工作而未找到比率","補習或準備升學比率","健康不良在家休養比率","準備出國比率","其他比率"
110,私立,桃園市,10380,25,104,210,34,17,21,70,0.240847784200385,1.0019267822736,2.02312138728324,0.327552986512524,0.163776493256262,0.202312138728324,0.674373795761079
110,私立,臺中市,12667,38,126,163,124,15,15,23,0.299992105470909,0.994710665508802,1.28680824188837,0.978921607326123,0.118417936370096,0.118417936370096,0.181574169100813
110,私立,臺南市,5143,15,64,56,84,3,3,43,0.29165856503986,1.2444098775034,1.08885864281548,1.63328796422322,0.058331713007972,0.058331713007972,0.836087886447599
110,私立,高雄市,8141,39,126,203,50,21,18,65,0.479056626950006,1.54772141014617,2.49355116079106,0.614175162756418,0.257953568357696,0.221103058592311,0.798427711583344
110,私立,宜蘭縣,330,0,0,0,0,0,0,2,0,0,0,0,0,0,0.606060606060606
110,私立,新竹縣,1826,4,13,30,7,1,0,0,0.219058050383352,0.711938663745893,1.64293537787514,0.383351588170865,0.0547645125958379,0,0
110,私立,苗栗縣,1183,1,7,13,4,4,0,8,0.084530853761623,0.591715976331361,1.0989010989011,0.338123415046492,0.338123415046492,0,0.676246830092984
110,私立,彰化縣,2338,1,16,75,17,7,1,15,0.0427715996578272,0.684345594525235,3.20786997433704,0.727117194183062,0.29940119760479,0.0427715996578272,0.641573994867408
110,私立,南投縣,738,0,40,17,0,1,0,0,0,5.42005420054201,2.30352303523035,0,0.13550135501355,0,0
110,私立,雲林縣,1723,3,12,23,6,0,2,1,0.174114915844457,0.696459663377829,1.33488102147417,0.348229831688915,0,0.116076610562972,0.0580383052814858
110,私立,嘉義縣,1287,4,15,22,19,1,0,6,0.310800310800311,1.16550116550117,1.70940170940171,1.47630147630148,0.0777000777000777,0,0.466200466200466
110,私立,屏東縣,998,4,5,43,9,4,1,2,0.400801603206413,0.501002004008016,4.30861723446894,0.901803607214429,0.400801603206413,0.100200400801603,0.200400801603206
110,私立,臺東縣,198,0,2,8,2,0,0,1,0,1.01010101010101,4.04040404040404,1.01010101010101,0,0,0.505050505050505
110,私立,花蓮縣,830,10,5,7,10,6,1,22,1.20481927710843,0.602409638554217,0.843373493975904,1.20481927710843,0.72289156626506,0.120481927710843,2.65060240963855
110,私立,基隆市,861,0,14,1,2,0,0,0,0,1.6260162601626,0.116144018583043,0.232288037166086,0,0,0
110,私立,新竹市,2215,9,27,11,2,5,5,4,0.406320541760722,1.21896162528217,0.496613995485327,0.090293453724605,0.225733634311512,0.225733634311512,0.18058690744921
110,私立,嘉義市,1629,2,53,39,28,4,1,0,0.122774708410068,3.25352977286679,2.39410681399632,1.71884591774095,0.245549416820135,0.0613873542050338,0
