"學年度","設立別","學校所在地別","畢業生人數","正在接受職業訓練人數","正在軍中服役人數","需要工作而未找到人數","補習或準備升學人數","健康不良在家休養人數","準備出國人數","其他人數","正在接受職業訓練比率","正在軍中服役比率","需要工作而未找到比率","補習或準備升學比率","健康不良在家休養比率","準備出國比率","其他比率"
110,國立,新北市,443,0,1,0,4,0,0,0,0,0.225733634311512,0,0.90293453724605,0,0,0
110,國立,臺北市,1205,5,1,0,18,0,2,1,0.4149377593361,0.0829875518672199,0,1.49377593360996,0,0.16597510373444,0.0829875518672199
110,國立,桃園市,1361,1,10,2,19,0,0,4,0.0734753857457752,0.734753857457752,0.14695077149155,1.39603232916973,0,0,0.293901542983101
110,國立,臺中市,1326,4,6,20,23,2,0,1,0.301659125188537,0.452488687782805,1.50829562594268,1.73453996983409,0.150829562594269,0,0.0754147812971342
110,國立,臺南市,8407,12,92,52,126,23,3,18,0.142738194361841,1.09432615677412,0.618532175567979,1.49875104079933,0.273581539193529,0.0356845485904603,0.214107291542762
110,國立,高雄市,3685,23,13,18,55,0,1,9,0.624151967435549,0.352781546811398,0.488466757123474,1.49253731343284,0,0.0271370420624152,0.244233378561737
110,國立,宜蘭縣,2888,1,7,16,16,4,0,29,0.0346260387811634,0.242382271468144,0.554016620498615,0.554016620498615,0.138504155124654,0,1.00415512465374
110,國立,新竹縣,1293,3,2,5,11,0,1,2,0.232018561484919,0.154679040989946,0.386697602474865,0.850734725444702,0,0.0773395204949729,0.154679040989946
110,國立,苗栗縣,2362,2,6,14,9,1,0,2,0.0846740050804403,0.254022015241321,0.592718035563082,0.381033022861981,0.0423370025402202,0,0.0846740050804403
110,國立,彰化縣,7053,8,21,47,37,4,3,24,0.113426910534524,0.297745640153126,0.66638309939033,0.524599461222175,0.0567134552672622,0.0425350914504466,0.340280731603573
110,國立,南投縣,2520,6,30,54,24,1,0,4,0.238095238095238,1.19047619047619,2.14285714285714,0.952380952380952,0.0396825396825397,0,0.158730158730159
110,國立,雲林縣,2799,2,13,30,46,2,1,8,0.0714540907466952,0.464451589853519,1.07181136120043,1.64344408717399,0.0714540907466952,0.0357270453733476,0.285816362986781
110,國立,嘉義縣,737,6,7,21,9,0,0,19,0.814111261872456,0.949796472184532,2.8493894165536,1.22116689280868,0,0,2.57801899592944
110,國立,屏東縣,2891,23,33,34,32,3,0,29,0.795572466274645,1.14147353856797,1.1760636457973,1.10688343133864,0.103770321687997,0,1.00311310965064
110,國立,臺東縣,1147,0,4,0,9,0,0,13,0,0.3487358326068,0,0.784655623365301,0,0,1.1333914559721
110,國立,花蓮縣,1512,0,9,18,16,1,2,6,0,0.595238095238095,1.19047619047619,1.05820105820106,0.0661375661375661,0.132275132275132,0.396825396825397
110,國立,澎湖縣,611,2,6,10,7,1,0,5,0.327332242225859,0.981996726677578,1.6366612111293,1.14566284779051,0.16366612111293,0,0.818330605564648
110,國立,基隆市,952,1,1,15,2,0,0,2,0.105042016806723,0.105042016806723,1.57563025210084,0.210084033613445,0,0,0.210084033613445
110,國立,新竹市,2422,0,2,5,26,1,0,1,0,0.0825763831544178,0.206440957886045,1.07349298100743,0.0412881915772089,0,0.0412881915772089
110,國立,嘉義市,3196,2,6,21,47,3,0,4,0.0625782227784731,0.187734668335419,0.657071339173967,1.47058823529412,0.0938673341677096,0,0.125156445556946
110,國立,金門縣,489,4,10,1,0,0,0,9,0.81799591002045,2.04498977505112,0.204498977505113,0,0,0,1.84049079754601
110,國立,連江縣,60,0,0,0,1,0,0,0,0,0,0,1.66666666666667,0,0,0
110,縣市立,新北市,11453,10,30,54,108,11,9,77,0.0873133676765913,0.261940103029774,0.471492185453593,0.942984370907186,0.0960447044442504,0.0785820309089321,0.672312931109753
110,縣市立,臺北市,17468,15,17,10,253,1,10,30,0.085871307533776,0.0973208152049462,0.0572475383558507,1.44836272040302,0.00572475383558507,0.0572475383558507,0.171742615067552
110,縣市立,桃園市,7392,10,19,7,92,2,3,15,0.135281385281385,0.257034632034632,0.0946969696969697,1.24458874458874,0.0270562770562771,0.0405844155844156,0.202922077922078
110,縣市立,臺中市,11048,19,41,38,126,7,3,18,0.171976828385228,0.371107892831282,0.343953656770456,1.14047791455467,0.0633598841419261,0.0271542360608255,0.162925416364953
110,縣市立,臺南市,511,0,1,0,14,0,0,0,0,0.195694716242661,0,2.73972602739726,0,0,0
110,縣市立,高雄市,9074,15,23,25,185,2,5,25,0.16530747189773,0.253471456909852,0.275512453162883,2.03879215340533,0.0220409962530306,0.0551024906325766,0.275512453162883
110,縣市立,宜蘭縣,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,縣市立,新竹縣,428,0,1,0,4,0,0,0,0,0.233644859813084,0,0.934579439252336,0,0,0
110,縣市立,苗栗縣,519,0,1,3,2,5,0,0,0,0.192678227360308,0.578034682080925,0.385356454720617,0.963391136801541,0,0
110,縣市立,彰化縣,713,0,1,0,6,0,0,2,0,0.140252454417952,0,0.841514726507714,0,0,0.280504908835905
110,縣市立,南投縣,194,0,0,0,15,0,0,0,0,0,0,7.7319587628866,0,0,0
110,縣市立,雲林縣,346,3,0,0,6,0,0,1,0.867052023121387,0,0,1.73410404624277,0,0,0.289017341040462
110,縣市立,嘉義縣,274,0,0,0,4,0,0,3,0,0,0,1.45985401459854,0,0,1.09489051094891
110,縣市立,屏東縣,490,0,0,0,3,0,0,0,0,0,0,0.612244897959184,0,0,0
110,縣市立,臺東縣,13,0,2,1,0,0,0,0,0,15.3846153846154,7.69230769230769,0,0,0,0
110,縣市立,花蓮縣,44,0,0,0,2,0,0,0,0,0,0,4.54545454545455,0,0,0
110,縣市立,基隆市,316,0,0,0,6,0,0,0,0,0,0,1.89873417721519,0,0,0
110,縣市立,新竹市,843,3,4,0,4,0,0,1,0.355871886120996,0.474495848161329,0,0.474495848161329,0,0,0.118623962040332
110,私立,新北市,8446,22,50,141,60,25,27,70,0.260478332938669,0.591996211224248,1.66942931565238,0.710395453469098,0.295998105612124,0.319677954061094,0.828794695713947
110,私立,臺北市,7017,18,56,29,67,20,17,31,0.256519880290723,0.798061849793359,0.413282029357275,0.954823998859912,0.285022089211914,0.242268775830127,0.441784238278467
