設立別,學校所在地別,畢業生人數,正在接受職業訓練人數,正在軍中服役人數,需要工作而未找到人數,補習或準備升學人數,健康不良在家休養人數,準備出國人數,其他人數,正在接受職業訓練比率,正在軍中服役比率,需要工作而未找到比率,補習或準備升學比率,健康不良在家休養比率,準備出國比率,其他比率
國立,新北市,442 ,0 ,0 ,0 ,11 ,0 ,0 ,0 ,0,0,0.00 ,2.49,0.00 ,0.00 ,0.00 
國立,臺北市,1317 ,0 ,3 ,0 ,45 ,0 ,2 ,1 ,0.00 ,0.23,0.00 ,3.42,0.00 ,0.15,0.08 
國立,桃園市,1555 ,1 ,19 ,2 ,26 ,3 ,1 ,3 ,0.06,1.22,0.13,1.67,0.19 ,0.06,0.19
國立,臺中市,1427 ,0 ,3 ,20 ,30 ,2 ,1 ,1 ,0,0.21,1.4,2.1,0.14 ,0.07,0.07
國立,臺南市,9197 ,17 ,84 ,67 ,193 ,11 ,4 ,10 ,0.18,0.91,0.73,2.1,0.12,0.04,0.11
國立,高雄市,4080 ,10 ,28 ,23 ,78 ,1 ,2 ,8 ,0.25,0.69,0.56,1.91,0.02,0.05,0.2
國立,宜蘭縣,3202 ,5 ,53 ,35 ,60 ,4 ,1 ,9 ,0.16,1.66,1.09,1.87,0.12,0.03,0.28
國立,新竹縣,1446 ,0 ,1 ,10 ,17 ,2 ,0 ,21 ,0,0.07,0.69,1.18,0.14 ,0.00 ,1.45
國立,苗栗縣,2763 ,0 ,11 ,14 ,47 ,1 ,1 ,5 ,0,0.4,0.51,1.7,0.04,0.04,0.18
國立,彰化縣,8103 ,21 ,37 ,84 ,102 ,9 ,0 ,16 ,0.26,0.46,1.04,1.26,0.11,0,0.2
國立,南投縣,2893 ,6 ,25 ,24 ,45 ,5 ,0 ,24 ,0.21,0.86,0.83,1.56,0.17,0.00 ,0.83
國立,雲林縣,3183 ,6 ,47 ,41 ,68 ,8 ,1 ,6 ,0.19,1.48,1.29,2.14,0.25,0.03 ,0.19
國立,嘉義縣,854 ,1 ,1 ,12 ,14 ,1 ,0 ,8 ,0.12,0.12,1.41,1.64,0.12 ,0.00 ,0.94
國立,屏東縣,3425 ,8 ,58 ,27 ,78 ,4 ,1 ,16 ,0.23,1.69,0.79,2.28,0.12,0.03 ,0.47
國立,臺東縣,1225 ,2 ,15 ,5 ,27 ,6 ,0 ,6 ,0.16,1.22,0.41,2.2,0.49 ,0,0.49
國立,花蓮縣,1630 ,4 ,7 ,20 ,36 ,1 ,0 ,0 ,0.25,0.43,1.23,2.21,0.06,0,0
國立,澎湖縣,679 ,1 ,8 ,4 ,10 ,2 ,0 ,6 ,0.15,1.18,0.59,1.47,0.29 ,0,0.88
國立,基隆市,1280 ,5 ,5 ,18 ,28 ,0 ,0 ,14 ,0.39,0.39,1.41,2.19,0,0.00 ,1.09
國立,新竹市,2690 ,1 ,11 ,5 ,55 ,2 ,0 ,1 ,0.04 ,0.41,0.19,2.04,0.07 ,0.00 ,0.04 
國立,嘉義市,3480 ,2 ,27 ,34 ,102 ,1 ,0 ,12 ,0.06,0.78,0.98,2.93,0.03,0,0.34
國立,金門縣,434 ,3 ,8 ,0 ,3 ,0 ,0 ,7 ,0.69,1.84,0,0.69,0,0.00 ,1.61
國立,連江縣,81 ,0 ,0 ,0 ,2 ,0 ,0 ,0 ,0.00 ,0.00 ,0.00 ,2.47,0.00 ,0.00 ,0.00 
縣市立,新北市,12227 ,12 ,57 ,61 ,291 ,10 ,6 ,95 ,0.1,0.47,0.5,2.38,0.08,0.05,0.78
縣市立,臺北市,17990 ,14 ,25 ,27 ,423 ,4 ,14 ,21 ,0.08,0.14,0.15,2.35,0.02,0.08,0.12
縣市立,桃園市,7852 ,7 ,27 ,18 ,171 ,4 ,7 ,10 ,0.09,0.34,0.23,2.18,0.05,0.09,0.13
縣市立,臺中市,12179 ,22 ,69 ,43 ,206 ,5 ,3 ,23 ,0.18,0.57,0.35,1.69,0.04,0.02,0.19
縣市立,臺南市,573 ,0 ,0 ,1 ,13 ,0 ,0 ,0 ,0.00 ,0,0.17 ,2.27,0.00 ,0.00 ,0.00 
縣市立,高雄市,10098 ,23 ,44 ,17 ,272 ,5 ,6 ,10 ,0.23,0.44,0.17,2.69,0.05,0.06,0.1
縣市立,宜蘭縣,91 ,0 ,0 ,1 ,2 ,1 ,0 ,0 ,0.00 ,0.00 ,1.10 ,2.2,1.10 ,0,0
縣市立,新竹縣,415 ,0 ,5 ,0 ,4 ,0 ,0 ,0 ,0.00 ,1.2,0.00 ,0.96,0.00 ,0.00 ,0.00 
縣市立,苗栗縣,568 ,0 ,8 ,2 ,4 ,0 ,0 ,0 ,0,1.41,0.35 ,0.7,0.00 ,0.00 ,0
縣市立,彰化縣,879 ,0 ,5 ,1 ,15 ,2 ,0 ,2 ,0.00 ,0.57,0.11,1.71,0.23,0.00 ,0.23
縣市立,南投縣,220 ,0 ,4 ,2 ,13 ,0 ,0 ,0 ,0.00 ,1.82 ,0.91 ,5.91,0.00 ,0.00 ,0.00 
縣市立,雲林縣,355 ,0 ,8 ,0 ,6 ,0 ,0 ,1 ,0,2.25,0.00 ,1.69,0,0.00 ,0.28
縣市立,嘉義縣,262 ,3 ,11 ,0 ,8 ,0 ,0 ,1 ,1.15 ,4.2,0.00 ,3.05,0.00 ,0.00 ,0.38 
縣市立,屏東縣,534 ,1 ,0 ,0 ,10 ,1 ,1 ,0 ,0.19,0,0,1.87,0.19 ,0.19,0.00 
縣市立,臺東縣,19 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0.00 ,0.00 ,5.26,0.00 ,0.00 ,0.00 ,0.00 
縣市立,花蓮縣,30 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,3.33 
縣市立,澎湖縣,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
縣市立,基隆市,348 ,1 ,1 ,0 ,6 ,0 ,0 ,0 ,0.29 ,0.29,0,1.72,0.00 ,0.00 ,0
縣市立,新竹市,856 ,0 ,9 ,0 ,12 ,0 ,0 ,3 ,0,1.05,0,1.4,0.00 ,0.00 ,0.35 
縣市立,嘉義市,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
縣市立,金門縣,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
