設立別,學校所在地別,畢業生人數,正在接受職業訓練人數,正在軍中服役人數,需要工作而未找到人數,補習或準備升學人數,健康不良在家休養人數,準備出國人數,其他人數,正在接受職業訓練比率,正在軍中服役比率,需要工作而未找到比率,補習或準備升學比率,健康不良在家休養比率,準備出國比率,其他比率
縣市立,連江縣,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
私立,新北市,10245 ,39 ,100 ,182 ,117 ,17 ,15 ,91 ,0.38,0.98,1.78,1.14,0.17,0.15,0.89
私立,臺北市,8944 ,6 ,81 ,60 ,120 ,12 ,20 ,61 ,0.07,0.91,0.67,1.34,0.13,0.22,0.68
私立,桃園市,12388 ,38 ,237 ,286 ,86 ,17 ,9 ,78 ,0.31,1.91,2.31,0.69,0.14,0.07,0.63
私立,臺中市,14796 ,39 ,193 ,261 ,182 ,18 ,22 ,43 ,0.26,1.3,1.76,1.23,0.12,0.15,0.29
私立,臺南市,6126 ,21 ,60 ,115 ,99 ,5 ,4 ,44 ,0.34,0.98,1.88,1.62,0.08,0.07,0.72
私立,高雄市,9468 ,86 ,149 ,292 ,111 ,33 ,56 ,51 ,0.91,1.57,3.08,1.17,0.35,0.59,0.54
私立,宜蘭縣,332 ,0 ,5 ,0 ,4 ,0 ,0 ,0 ,0.00 ,1.51,0.00 ,1.2,0.00 ,0.00 ,0.00 
私立,新竹縣,1953 ,6 ,32 ,42 ,7 ,2 ,0 ,5 ,0.31,1.64,2.15,0.36,0.1,0,0.26
私立,苗栗縣,1539 ,0 ,36 ,43 ,13 ,8 ,2 ,7 ,0,2.34,2.79,0.84,0.52,0.13,0.45
私立,彰化縣,2547 ,7 ,35 ,55 ,43 ,14 ,0 ,27 ,0.27,1.37,2.16,1.69,0.55,0,1.06 
私立,南投縣,884 ,2 ,42 ,70 ,3 ,0 ,0 ,11 ,0.23,4.75,7.92,0.34,0.00 ,0,1.24
私立,雲林縣,2075 ,11 ,26 ,44 ,38 ,2 ,0 ,10 ,0.53,1.25,2.12,1.83,0.1,0,0.48
私立,嘉義縣,1763 ,4 ,43 ,106 ,14 ,4 ,12 ,1 ,0.23,2.44,6.01,0.79,0.23,0.68,0.06
私立,屏東縣,1395 ,19 ,24 ,54 ,35 ,6 ,0 ,22 ,1.36,1.72,3.87,2.51,0.43,0,1.58
私立,臺東縣,310 ,4 ,17 ,3 ,0 ,2 ,1 ,4 ,1.29,5.48 ,0.97,0,0.65,0.32,1.29
私立,花蓮縣,1008 ,6 ,12 ,5 ,10 ,2 ,0 ,28 ,0.6,1.19,0.5,0.99,0.2,0,2.78
私立,澎湖縣,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
私立,基隆市,1053 ,0 ,12 ,4 ,7 ,2 ,0 ,0 ,0,1.14,0.38,0.66,0.19 ,0.00 ,0
私立,新竹市,2398 ,3 ,40 ,5 ,27 ,1 ,2 ,4 ,0.13,1.67,0.21,1.13,0.04,0.08,0.17
私立,嘉義市,2115 ,0 ,48 ,37 ,21 ,2 ,0 ,0 ,0,2.27,1.75,0.99,0.09,0,0.00 
私立,金門縣,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
私立,連江縣,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
