學程別,設立別,性別,畢業生人數,正在接受職業訓練人數,正在軍中服役人數,需要工作而未找到人數,補習或準備升學人數,健康不良在家休養人數,準備出國人數,其他人數,正在接受職業訓練比率,正在軍中服役比率,需要工作而未找到比率,補習或準備升學比率,健康不良在家休養比率,準備出國比率,其他比率
普通科,國立,男,17951,2,103,3,478,1,3,4,0.0111414406,0.5737841903,0.0167121609,2.6628043006,0.0055707203,0.0167121609,0.0222828812
普通科,國立,女,17035,0,0,10,253,3,7,19,0,0,0.058702671,1.4851775756,0.0176108013,0.0410918697,0.1115350748
普通科,縣市立,男,20477,13,210,23,458,4,14,21,0.0634858622,1.0255408507,0.1123211408,2.2366557601,0.0195341114,0.06836939,0.1025540851
普通科,縣市立,女,21199,8,0,11,320,8,10,23,0.0377376291,0,0.0518892401,1.5095051653,0.0377376291,0.0471720364,0.1084956838
普通科,私立,計,28447,11,116,8,581,3,24,15,0.0386684009,0.4077758639,0.0281224734,2.0423946286,0.0105459275,0.0843674201,0.0527296376
普通科,私立,男,14483,10,116,5,349,1,14,11,0.0690464683,0.800939032,0.0345232341,2.4097217427,0.0069046468,0.0966650556,0.0759511151
普通科,私立,女,13964,1,0,3,232,2,10,4,0.0071612718,0,0.0214838155,1.6614150673,0.0143225437,0.0716127184,0.0286450874
專業群(職業)科,國立,男,17555,74,631,168,171,17,7,97,0.421532327,3.5944175449,0.9569923099,0.9740814583,0.0968385075,0.0398746796,0.5525491313
專業群(職業)科,國立,女,13185,41,0,140,71,14,1,51,0.3109594236,0,1.0618126659,0.5384907091,0.1061812666,0.0075843762,0.3868031854
專業群(職業)科,縣市立,男,7015,5,69,18,85,4,3,31,0.0712758375,0.9836065574,0.256593015,1.2116892373,0.05702067,0.0427655025,0.4419101924
專業群(職業)科,縣市立,女,4231,5,0,8,42,3,2,17,0.1181753723,0,0.1890805956,0.9926731269,0.0709052234,0.0472701489,0.4017962657
專業群(職業)科,私立,男,36343,141,2133,889,229,72,41,238,0.3879701731,5.8690807033,2.4461381834,0.6301075861,0.1981124288,0.112814022,0.6548716397
專業群(職業)科,私立,女,34125,98,0,678,266,80,64,137,0.2871794872,0,1.9868131868,0.7794871795,0.2344322344,0.1875457875,0.4014652015
綜合高中,國立,男,4612,7,124,14,73,1,2,14,0.1517779705,2.6886383348,0.303555941,1.5828274068,0.0216825672,0.0433651344,0.303555941
綜合高中,國立,女,5358,3,0,20,73,2,0,20,0.0559910414,0,0.3732736096,1.3624486749,0.037327361,0,0.3732736096
綜合高中,縣市立,男,1766,0,18,1,33,0,1,2,0,1.0192525481,0.0566251416,1.8686296716,0,0.0566251416,0.1132502831
綜合高中,縣市立,女,1754,0,0,3,35,1,2,0,0,0,0.1710376283,1.9954389966,0.0570125428,0.1140250855,0
綜合高中,私立,男,4563,4,195,30,34,5,5,12,0.0876616261,4.2735042735,0.6574621959,0.745123822,0.1095770327,0.1095770327,0.2629848784
綜合高中,私立,女,5581,6,0,27,34,4,5,23,0.1075076151,0,0.4837842681,0.609209819,0.0716717434,0.0895896793,0.4121125246
實用技能學程,國立,男,1978,7,179,36,9,2,1,13,0.353892821,9.0495449949,1.8200202224,0.4550050556,0.1011122346,0.0505561173,0.6572295248
實用技能學程,國立,女,1438,7,0,44,6,5,0,7,0.4867872045,0,3.0598052851,0.4172461752,0.347705146,0,0.4867872045
實用技能學程,縣市立,男,246,0,14,2,0,0,0,0,0,5.6910569106,0.8130081301,0,0,0,0
實用技能學程,縣市立,女,155,0,0,2,19,1,0,3,0,0,1.2903225806,12.2580645161,0.6451612903,0,1.935483871
實用技能學程,私立,男,4683,34,374,225,19,18,3,76,0.7260303224,7.9863335469,4.8046124279,0.4057228272,0.3843689942,0.064061499,1.622891309
實用技能學程,私立,女,3804,21,0,183,15,13,0,32,0.5520504732,0,4.8107255521,0.3943217666,0.341745531,0,0.8412197687
進修部(學校),國立,男,2770,6,280,101,22,8,3,33,0.2166064982,10.1083032491,3.6462093863,0.7942238267,0.2888086643,0.1083032491,1.1913357401
進修部(學校),國立,女,2142,5,0,64,13,5,6,46,0.233426704,0,2.9878618114,0.6069094304,0.233426704,0.2801120448,2.1475256769
進修部(學校),縣市立,男,923,5,25,16,9,1,1,18,0.5417118093,2.7085590466,1.7334777898,0.9750812568,0.1083423619,0.1083423619,1.9501625135
進修部(學校),縣市立,女,635,0,0,5,2,1,0,88,0,0,0.7874015748,0.3149606299,0.157480315,0,13.8582677165
進修部(學校),私立,男,7077,39,603,351,42,20,7,172,0.5510809665,8.5205595591,4.9597286986,0.5934718101,0.2826056239,0.0989119683,2.4304083651
進修部(學校),私立,女,5515,36,0,272,48,33,26,83,0.6527651859,0,4.9320036265,0.8703535811,0.598368087,0.4714415231,1.5049864007
