學程別,設立別,性別,畢業生人數,正在接受職業訓練人數,正在軍中服役人數,需要工作而未找到人數,補習或準備升學人數,健康不良在家休養人數,準備出國人數,其他人數,正在接受職業訓練比率,正在軍中服役比率,需要工作而未找到比率,補習或準備升學比率,健康不良在家休養比率,準備出國比率,其他比率
普通科,國立,男,12072 ,2 ,53 ,12 ,489 ,2 ,3 ,7 ,0.02 ,0.44 ,0.10 ,4.05 ,0.02 ,0.02 ,0.06 
普通科,國立,女,12356 ,4 ,0 ,8 ,328 ,10 ,6 ,9 ,0.03 ,0.00 ,0.06 ,2.65 ,0.08 ,0.05 ,0.07 
普通科,縣市立,男,22180 ,14 ,145 ,7 ,737 ,5 ,11 ,19 ,0.06 ,0.65 ,0.03 ,3.32 ,0.02 ,0.05 ,0.09 
普通科,縣市立,女,23872 ,12 ,0 ,4 ,512 ,8 ,14 ,14 ,0.05 ,0.00 ,0.02 ,2.14 ,0.03 ,0.06 ,0.06 
普通科,私立,男,10547 ,10 ,62 ,8 ,381 ,2 ,34 ,9 ,0.09 ,0.59 ,0.08 ,3.61 ,0.02 ,0.32 ,0.09 
普通科,私立,女,10601 ,9 ,0 ,4 ,250 ,0 ,18 ,12 ,0.08 ,0.00 ,0.04 ,2.36 ,0.00 ,0.17 ,0.11 
專業群科,國立,男,13007 ,45 ,239 ,161 ,102 ,19 ,0 ,72 ,0.35 ,1.84 ,1.24 ,0.78 ,0.15 ,0.00 ,0.55 
專業群科,國立,女,9076 ,30 ,0 ,118 ,46 ,15 ,3 ,34 ,0.33 ,0.00 ,1.30 ,0.51 ,0.17 ,0.03 ,0.37 
專業群科,縣市立,男,9216 ,25 ,61 ,74 ,74 ,3 ,4 ,32 ,0.27 ,0.66 ,0.80 ,0.80 ,0.03 ,0.04 ,0.35 
專業群科,縣市立,女,5747 ,17 ,0 ,55 ,48 ,6 ,7 ,26 ,0.30 ,0.00 ,0.96 ,0.84 ,0.10 ,0.12 ,0.45 
專業群科,私立,男,22544 ,95 ,752 ,561 ,122 ,52 ,33 ,146 ,0.42 ,3.34 ,2.49 ,0.54 ,0.23 ,0.15 ,0.65 
專業群科,私立,女,21944 ,84 ,0 ,487 ,103 ,37 ,42 ,118 ,0.38 ,0.00 ,2.22 ,0.47 ,0.17 ,0.19 ,0.54 
綜合高中,國立,男,2021 ,0 ,21 ,5 ,42 ,0 ,0 ,2 ,0.00 ,1.04 ,0.25 ,2.08 ,0.00 ,0.00 ,0.10 
綜合高中,國立,女,2727 ,3 ,0 ,9 ,54 ,0 ,1 ,4 ,0.11 ,0.00 ,0.33 ,1.98 ,0.00 ,0.04 ,0.15 
綜合高中,縣市立,男,1226 ,0 ,14 ,2 ,34 ,0 ,1 ,3 ,0.00 ,1.14 ,0.16 ,2.77 ,0.00 ,0.08 ,0.24 
綜合高中,縣市立,女,1414 ,2 ,0 ,2 ,33 ,1 ,0 ,0 ,0.14 ,0.00 ,0.14 ,2.33 ,0.07 ,0.00 ,0.00 
綜合高中,私立,男,1556 ,0 ,28 ,10 ,14 ,2 ,0 ,7 ,0.00 ,1.80 ,0.64 ,0.90 ,0.13 ,0.00 ,0.45 
綜合高中,私立,女,1758 ,2 ,0 ,5 ,17 ,1 ,3 ,6 ,0.11 ,0.00 ,0.28 ,0.97 ,0.06 ,0.17 ,0.34 
實用技能學程,國立,男,1247 ,3 ,57 ,32 ,5 ,1 ,0 ,5 ,0.24 ,4.57 ,2.57 ,0.40 ,0.08 ,0.00 ,0.40 
實用技能學程,國立,女,871 ,2 ,0 ,28 ,1 ,1 ,0 ,2 ,0.23 ,0.00 ,3.21 ,0.11 ,0.11 ,0.00 ,0.23 
實用技能學程,縣市立,男,259 ,1 ,9 ,8 ,7 ,0 ,0 ,0 ,0.39 ,3.47 ,3.09 ,2.70 ,0.00 ,0.00 ,0.00 
實用技能學程,縣市立,女,112 ,2 ,0 ,2 ,0 ,1 ,0 ,12 ,1.79 ,0.00 ,1.79 ,0.00 ,0.89 ,0.00 ,10.71 
實用技能學程,私立,男,3384 ,23 ,196 ,159 ,10 ,11 ,2 ,17 ,0.68 ,5.79 ,4.70 ,0.30 ,0.33 ,0.06 ,0.50 
實用技能學程,私立,女,2496 ,30 ,0 ,148 ,13 ,10 ,0 ,15 ,1.20 ,0.00 ,5.93 ,0.52 ,0.40 ,0.00 ,0.60 
進修部,國立,男,1244 ,2 ,81 ,48 ,6 ,2 ,0 ,17 ,0.16 ,6.51 ,3.86 ,0.48 ,0.16 ,0.00 ,1.37 
進修部,國立,女,765 ,2 ,0 ,24 ,4 ,13 ,1 ,22 ,0.26 ,0.00 ,3.14 ,0.52 ,1.70 ,0.13 ,2.88 
進修部,縣市立,男,926 ,7 ,44 ,12 ,10 ,0 ,0 ,12 ,0.76 ,4.75 ,1.30 ,1.08 ,0.00 ,0.00 ,1.30 
進修部,縣市立,女,544 ,3 ,0 ,8 ,1 ,8 ,0 ,49 ,0.55 ,0.00 ,1.47 ,0.18 ,1.47 ,0.00 ,9.01 
進修部,私立,男,3587 ,18 ,154 ,156 ,17 ,13 ,4 ,113 ,0.50 ,4.29 ,4.35 ,0.47 ,0.36 ,0.11 ,3.15 
進修部,私立,女,2922 ,20 ,0 ,126 ,10 ,19 ,7 ,44 ,0.68 ,0.00 ,4.31 ,0.34 ,0.65 ,0.24 ,1.51 
