學程別,設立別,性別,畢業生人數,正在接受職業訓練人數,正在軍中服役人數,需要工作而未找到人數,補習或準備升學人數,健康不良在家休養人數,準備出國人數,其他人數,正在接受職業訓練比率,正在軍中服役比率,需要工作而未找到比率,補習或準備升學比率,健康不良在家休養比率,準備出國比率,其他比率
普通科,國立,男,13721,4,109,10,329,2,3,9,0.03,0.79,0.07,2.40,0.01,0.02,0.07
普通科,國立,女,13958,6,0,7,177,1,6,1,0.04,0.00,0.05,1.27,0.01,0.04,0.01
普通科,縣市立,男,20575,35,117,14,306,1,8,32,0.17,0.57,0.07,1.49,0.00,0.04,0.16
普通科,縣市立,女,21550,36,0,8,236,3,9,11,0.17,0.00,0.04,1.10,0.01,0.04,0.05
普通科,私立,男,12308,4,73,12,264,5,19,6,0.03,0.59,0.10,2.14,0.04,0.15,0.05
普通科,私立,女,12157,5,0,5,135,1,10,2,0.04,0.00,0.04,1.11,0.01,0.08,0.02
專業群(職業)科,國立,男,14146,45,732,176,152,18,2,90,0.32,5.17,1.24,1.07,0.13,0.01,0.64
專業群(職業)科,國立,女,10407,35,0,132,58,13,4,28,0.34,0.00,1.27,0.56,0.12,0.04,0.27
專業群(職業)科,縣市立,男,9072,28,107,78,118,3,8,17,0.31,1.18,0.86,1.30,0.03,0.09,0.19
專業群(職業)科,縣市立,女,5168,14,0,31,36,2,12,9,0.27,0.00,0.60,0.70,0.04,0.23,0.17
專業群(職業)科,私立,男,30574,163,1462,710,192,75,52,187,0.53,4.78,2.32,0.63,0.25,0.17,0.61
專業群(職業)科,私立,女,29058,123,0,604,219,63,63,128,0.42,0.00,2.08,0.75,0.22,0.22,0.44
綜合高中,國立,男,2968,4,72,8,49,0,1,5,0.13,2.43,0.27,1.65,0.00,0.03,0.17
綜合高中,國立,女,3776,3,0,8,38,2,2,8,0.08,0.00,0.21,1.01,0.05,0.05,0.21
綜合高中,縣市立,男,1775,3,9,3,39,0,2,1,0.17,0.51,0.17,2.20,0.00,0.11,0.06
綜合高中,縣市立,女,1988,0,0,2,21,0,4,1,0.00,0.00,0.10,1.06,0.00,0.20,0.05
綜合高中,私立,男,2752,7,122,15,22,6,6,8,0.25,4.43,0.55,0.80,0.22,0.22,0.29
綜合高中,私立,女,3265,8,0,20,18,1,6,5,0.25,0.00,0.61,0.55,0.03,0.18,0.15
實用技能學程,國立,男,1490,15,138,38,7,4,1,11,1.01,9.26,2.55,0.47,0.27,0.07,0.74
實用技能學程,國立,女,1037,5,0,42,9,5,0,3,0.48,0.00,4.05,0.87,0.48,0.00,0.29
實用技能學程,縣市立,男,284,1,24,4,0,2,0,0,0.35,8.45,1.41,0.00,0.70,0.00,0.00
實用技能學程,縣市立,女,208,0,0,6,0,1,0,1,0.00,0.00,2.88,0.00,0.48,0.00,0.48
實用技能學程,私立,男,3662,42,247,165,18,13,1,50,1.15,6.74,4.51,0.49,0.35,0.03,1.37
實用技能學程,私立,女,3194,26,0,217,13,13,3,21,0.81,0.00,6.79,0.41,0.41,0.09,0.66
進修部(學校),國立,男,1762,12,160,52,8,2,2,60,0.68,9.08,2.95,0.45,0.11,0.11,3.41
進修部(學校),國立,女,1149,0,0,33,5,7,1,37,0.00,0.00,2.87,0.44,0.61,0.09,3.22
進修部(學校),縣市立,男,1198,3,52,17,7,5,1,20,0.25,4.34,1.42,0.58,0.42,0.08,1.67
進修部(學校),縣市立,女,808,2,0,8,9,3,1,62,0.25,0.00,0.99,1.11,0.37,0.12,7.67
進修部(學校),私立,男,5385,12,321,254,19,24,7,155,0.22,5.96,4.72,0.35,0.45,0.13,2.88
進修部(學校),私立,女,4247,23,0,216,18,27,9,69,0.54,0.00,5.09,0.42,0.64,0.21,1.62
