設立別,學程別,群科別,畢業生人數,正在接受職業訓練人數,正在軍中服役人數,需要工作而未找到人數,補習或準備升學人數,健康不良在家休養人數,準備出國人數,其他人數,正在接受職業訓練比率,正在軍中服役比率,需要工作而未找到比率,補習或準備升學比率,健康不良在家休養比率,準備出國比率,其他比率
國立,普通科,普通科,34072,15,102,27,692,6,20,27,0.044024418877671,0.299366048368162,0.079243953979808,2.03099319088988,0.017609767551068,0.058699225170228,0.079243953979808
國立,專業群(職業)科,機械群,4353,21,131,12,49,3,3,15,0.482425913163336,3.00941879163795,0.275671950379049,1.12566046404778,0.068917987594762,0.068917987594762,0.344589937973811
國立,專業群(職業)科,動力機械群,1279,0,84,14,7,4,0,9,0,6.56763096168882,1.09460516028147,0.547302580140735,0.312744331508991,0,0.703674745895231
國立,專業群(職業)科,電機與電子群,5101,6,172,28,46,2,1,14,0.11762399529504,3.37188786512449,0.548911978043521,0.901783963928641,0.03920799843168,0.01960399921584,0.27445598902176
國立,專業群(職業)科,化工群,1208,1,18,2,6,0,0,1,0.082781456953642,1.49006622516556,0.165562913907285,0.496688741721854,0,0,0.082781456953642
國立,專業群(職業)科,土木與建築群,1230,3,50,10,12,0,0,5,0.24390243902439,4.0650406504065,0.813008130081301,0.975609756097561,0,0,0.40650406504065
國立,專業群(職業)科,商業與管理群,7676,8,71,32,51,3,2,13,0.104220948410631,0.924960917144346,0.416883793642522,0.66440854611777,0.039082855653986,0.026055237102658,0.169359041167275
國立,專業群(職業)科,外語群,974,0,3,0,6,2,1,1,0,0.308008213552361,0,0.616016427104723,0.205338809034908,0.102669404517454,0.102669404517454
國立,專業群(職業)科,設計群,1297,2,9,4,17,1,0,6,0.15420200462606,0.693909020817271,0.30840400925212,1.31071703932151,0.07710100231303,0,0.46260601387818
國立,專業群(職業)科,農業群,1761,1,49,25,20,4,4,2,0.056785917092561,2.78250993753549,1.41964792731403,1.13571834185122,0.227143668370244,0.227143668370244,0.113571834185122
國立,專業群(職業)科,食品群,1311,0,32,33,9,0,0,4,0,2.44088482074752,2.51716247139588,0.68649885583524,0,0,0.30511060259344
國立,專業群(職業)科,家政群,1430,2,3,6,11,1,0,6,0.13986013986014,0.20979020979021,0.41958041958042,0.769230769230769,0.06993006993007,0,0.41958041958042
國立,專業群(職業)科,餐旅群,1053,0,23,6,4,1,0,0,0,2.18423551756885,0.56980056980057,0.379867046533713,0.094966761633428,0,0
國立,專業群(職業)科,水產群,242,1,20,13,2,0,0,3,0.413223140495868,8.26446280991735,5.37190082644628,0.826446280991735,0,0,1.2396694214876
國立,專業群(職業)科,海事群,288,0,88,1,1,2,0,2,0,30.5555555555556,0.347222222222222,0.347222222222222,0.694444444444444,0,0.694444444444444
國立,專業群(職業)科,藝術群,132,0,4,0,5,0,0,2,0,3.03030303030303,0,3.78787878787879,0,0,1.51515151515152
國立,專業群(職業)科,綜合,881,33,6,115,17,19,0,17,3.74574347332577,0.681044267877412,13.0533484676504,1.92962542565267,2.1566401816118,0,1.92962542565267
國立,綜合高中,學術群,4856,0,15,6,78,2,3,2,0,0.308896210873147,0.123558484349259,1.60626029654036,0.041186161449753,0.061779242174629,0.041186161449753
國立,綜合高中,機械群,264,0,2,6,7,0,1,0,0,0.757575757575758,2.27272727272727,2.65151515151515,0,0.378787878787879,0
國立,綜合高中,動力機械群,31,0,1,0,0,0,0,2,0,3.2258064516129,0,0,0,0,6.45161290322581
國立,綜合高中,電機與電子群,349,1,8,1,1,1,0,0,0.286532951289398,2.29226361031519,0.286532951289398,0.286532951289398,0.286532951289398,0,0
國立,綜合高中,化工群,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0
國立,綜合高中,土木與建築群,194,0,0,0,2,0,0,0,0,0,0,1.03092783505155,0,0,0
國立,綜合高中,商業與管理群,1217,1,20,12,9,2,1,3,0.082169268693509,1.64338537387017,0.986031224322104,0.739523418241578,0.164338537387017,0.082169268693509,0.246507806080526
國立,綜合高中,外語群,304,1,1,2,1,0,0,0,0.328947368421053,0.328947368421053,0.657894736842105,0.328947368421053,0,0,0
國立,綜合高中,設計群,393,0,1,0,6,1,0,0,0,0.254452926208651,0,1.52671755725191,0.254452926208651,0,0
國立,綜合高中,農業群,106,0,0,2,2,0,0,0,0,0,1.88679245283019,1.88679245283019,0,0,0
國立,綜合高中,食品群,180,1,4,0,1,0,1,0,0.555555555555556,2.22222222222222,0,0.555555555555556,0,0.555555555555556,0
國立,綜合高中,家政群,92,0,0,1,0,0,0,0,0,0,1.08695652173913,0,0,0,0
國立,綜合高中,餐旅群,556,1,13,4,6,1,0,0,0.179856115107914,2.33812949640288,0.719424460431655,1.07913669064748,0.179856115107914,0,0
國立,綜合高中,水產群,47,0,5,0,0,0,0,0,0,10.6382978723404,0,0,0,0,0
國立,綜合高中,海事群,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
國立,綜合高中,藝術群,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
國立,綜合高中,綜合,42,0,1,0,0,0,0,0,0,2.38095238095238,0,0,0,0,0
國立,實用技能學程,機械群,521,4,24,13,7,3,0,5,0.767754318618042,4.60652591170825,2.49520153550864,1.34357005758157,0.575815738963532,0,0.959692898272553
國立,實用技能學程,動力機械群,165,2,9,9,0,0,0,1,1.21212121212121,5.45454545454545,5.45454545454545,0,0,0,0.606060606060606
國立,實用技能學程,電機與電子群,400,2,34,6,0,0,0,9,0.5,8.5,1.5,0,0,0,2.25
國立,實用技能學程,土木與建築群,104,0,2,3,0,0,0,0,0,1.92307692307692,2.88461538461538,0,0,0,0
國立,實用技能學程,商業與管理群,576,6,31,21,4,1,2,4,1.04166666666667,5.38194444444444,3.64583333333333,0.694444444444444,0.173611111111111,0.347222222222222,0.694444444444444
國立,實用技能學程,設計群,160,1,4,11,0,0,0,0,0.625,2.5,6.875,0,0,0,0
國立,實用技能學程,農業群,178,1,2,3,1,0,0,3,0.561797752808989,1.12359550561798,1.68539325842697,0.561797752808989,0,0,1.68539325842697
國立,實用技能學程,食品群,270,2,6,9,7,0,0,3,0.740740740740741,2.22222222222222,3.33333333333333,2.59259259259259,0,0,1.11111111111111
國立,實用技能學程,餐旅群,466,0,14,20,0,0,0,4,0,3.00429184549356,4.29184549356223,0,0,0,0.858369098712446
國立,實用技能學程,水產群,30,4,0,1,6,0,0,0,13.3333333333333,0,3.33333333333333,20,0,0,0
國立,實用技能學程,海事群,46,6,4,4,3,0,0,2,13.0434782608696,8.69565217391304,8.69565217391304,6.52173913043478,0,0,4.34782608695652
國立,實用技能學程,美容造型群,174,1,3,3,0,0,0,0,0.574712643678161,1.72413793103448,1.72413793103448,0,0,0,0
國立,進修部(學校),普通科,146,0,3,0,3,3,0,6,0,2.05479452054795,0,2.05479452054795,2.05479452054795,0,4.10958904109589
國立,進修部(學校),機械群,598,1,47,16,1,1,0,4,0.167224080267559,7.85953177257525,2.67558528428094,0.167224080267559,0.167224080267559,0,0.668896321070234
國立,進修部(學校),動力機械群,158,0,16,13,2,0,0,1,0,10.126582278481,8.22784810126582,1.26582278481013,0,0,0.632911392405063
國立,進修部(學校),電機與電子群,634,0,64,23,0,3,0,6,0,10.0946372239748,3.62776025236593,0,0.473186119873817,0,0.946372239747634
國立,進修部(學校),化工群,77,1,12,2,0,0,0,0,1.2987012987013,15.5844155844156,2.5974025974026,0,0,0,0
國立,進修部(學校),土木與建築群,79,0,2,8,0,0,0,2,0,2.53164556962025,10.126582278481,0,0,0,2.53164556962025
國立,進修部(學校),商業與管理群,1562,4,51,49,4,3,1,34,0.256081946222791,3.26504481434059,3.13700384122919,0.256081946222791,0.192061459667093,0.064020486555698,2.17669654289373
國立,進修部(學校),外語群,18,0,0,0,0,1,0,0,0,0,0,0,5.55555555555556,0,0
國立,進修部(學校),設計群,172,1,8,5,1,0,1,2,0.581395348837209,4.65116279069768,2.90697674418605,0.581395348837209,0,0.581395348837209,1.16279069767442
國立,進修部(學校),農業群,66,0,0,0,0,0,0,2,0,0,0,0,0,0,3.03030303030303
國立,進修部(學校),食品群,289,0,23,7,0,6,0,7,0,7.95847750865052,2.42214532871972,0,2.07612456747405,0,2.42214532871972
國立,進修部(學校),家政群,245,1,5,10,1,2,0,7,0.408163265306122,2.04081632653061,4.08163265306122,0.408163265306122,0.816326530612245,0,2.85714285714286
國立,進修部(學校),餐旅群,165,0,7,1,0,1,0,1,0,4.24242424242424,0.606060606060606,0,0.606060606060606,0,0.606060606060606
縣市立,普通科,普通科,40267,22,172,28,617,8,23,29,0.054635309310353,0.427148781880945,0.069535848213177,1.53227208384037,0.019867385203765,0.057118732460824,0.072019271363648
縣市立,專業群(職業)科,機械群,1791,2,36,6,28,2,3,2,0.111669458403127,2.01005025125628,0.33500837520938,1.56337241764377,0.111669458403127,0.16750418760469,0.111669458403127
縣市立,專業群(職業)科,動力機械群,582,3,9,2,12,0,0,1,0.515463917525773,1.54639175257732,0.343642611683849,2.06185567010309,0,0,0.171821305841924
縣市立,專業群(職業)科,電機與電子群,2855,0,25,3,79,0,2,2,0,0.875656742556918,0.10507880910683,2.76707530647986,0,0.070052539404553,0.070052539404553
縣市立,專業群(職業)科,化工群,235,0,3,1,4,0,0,0,0,1.27659574468085,0.425531914893617,1.70212765957447,0,0,0
縣市立,專業群(職業)科,土木與建築群,467,0,6,0,3,0,0,0,0,1.2847965738758,0,0.642398286937901,0,0,0
縣市立,專業群(職業)科,商業與管理群,2631,0,13,4,26,3,3,6,0,0.494108703914861,0.152033447358419,0.988217407829723,0.114025085518814,0.114025085518814,0.228050171037628
縣市立,專業群(職業)科,外語群,501,0,0,0,3,0,0,1,0,0,0,0.598802395209581,0,0,0.199600798403194
縣市立,專業群(職業)科,設計群,1202,1,2,2,9,2,5,2,0.083194675540765,0.166389351081531,0.166389351081531,0.748752079866889,0.166389351081531,0.415973377703827,0.166389351081531
縣市立,專業群(職業)科,農業群,145,0,0,0,13,1,0,0,0,0,0,8.96551724137931,0.689655172413793,0,0
縣市立,專業群(職業)科,食品群,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0
縣市立,專業群(職業)科,家政群,148,0,0,0,6,0,0,0,0,0,0,4.05405405405405,0,0,0
縣市立,專業群(職業)科,餐旅群,225,0,0,0,17,0,0,0,0,0,0,7.55555555555556,0,0,0
縣市立,專業群(職業)科,藝術群,74,0,1,1,0,0,0,0,0,1.35135135135135,1.35135135135135,0,0,0,0
縣市立,專業群(職業)科,綜合,259,15,1,26,1,5,0,33,5.79150579150579,0.386100386100386,10.03861003861,0.386100386100386,1.93050193050193,0,12.7413127413127
縣市立,綜合高中,學術群,2149,0,10,3,20,0,2,1,0,0.465332712889716,0.139599813866915,0.930665425779432,0,0.093066542577943,0.046533271288972
縣市立,綜合高中,機械群,44,0,0,0,1,0,0,0,0,0,0,2.27272727272727,0,0,0
縣市立,綜合高中,電機與電子群,181,2,2,0,10,0,1,0,1.10497237569061,1.10497237569061,0,5.52486187845304,0,0.552486187845304,0
縣市立,綜合高中,化工群,92,0,0,0,1,0,0,0,0,0,0,1.08695652173913,0,0,0
縣市立,綜合高中,土木與建築群,118,0,2,0,2,0,0,0,0,1.69491525423729,0,1.69491525423729,0,0,0
