設立別,學校所在地別,畢業生人數,正在接受職業訓練人數,正在軍中服役人數,需要工作而未找到人數,補習或準備升學人數,健康不良在家休養人數,準備出國人數,其他人數,正在接受職業訓練比率,正在軍中服役比率,需要工作而未找到比率,補習或準備升學比率,健康不良在家休養比率,準備出國比率,其他比率
國立,新北市,530,0,0,0,7,0,0,0,0,0,0,1.32,0,0,0
國立,臺北市,1436,0,4,0,28,0,8,2,0,0.28,0,1.95,0,0.56,0.14
國立,桃園市,7085,2,73,38,64,4,4,8,0.03,1.03,0.54,0.90,0.06,0.06,0.11
國立,臺中市,11962,9,105,94,176,5,1,22,0.08,0.88,0.79,1.47,0.04,0.01,0.18
國立,臺南市,10855,22,146,69,153,15,6,22,0.20,1.35,0.64,1.41,0.14,0.06,0.20
國立,高雄市,4684,3,42,7,67,5,1,9,0.06,0.90,0.15,1.43,0.11,0.02,0.19
國立,宜蘭縣,4003,7,114,37,25,7,3,13,0.17,2.85,0.92,0.62,0.17,0.07,0.32
國立,新竹縣,1548,8,14,1,15,5,1,2,0.52,0.90,0.06,0.97,0.32,0.06,0.13
國立,苗栗縣,3053,10,30,12,61,1,2,9,0.33,0.98,0.39,2.00,0.03,0.07,0.29
國立,彰化縣,8865,28,74,72,84,4,1,42,0.32,0.83,0.81,0.95,0.05,0.01,0.47
國立,南投縣,3680,6,66,44,56,8,1,12,0.16,1.79,1.20,1.52,0.22,0.03,0.33
國立,雲林縣,3610,6,64,38,59,1,1,16,0.17,1.77,1.05,1.63,0.03,0.03,0.44
國立,嘉義縣,1021,1,38,7,5,2,0,6,0.10,3.72,0.69,0.49,0.20,0,0.59
國立,屏東縣,4197,16,173,84,97,4,1,19,0.38,4.12,2.00,2.31,0.10,0.02,0.45
國立,臺東縣,1431,1,72,17,22,4,0,8,0.07,5.03,1.19,1.54,0.28,0,0.56
國立,花蓮縣,2159,1,106,12,6,2,5,11,0.05,4.91,0.56,0.28,0.09,0.23,0.51
國立,澎湖縣,793,2,76,14,2,2,0,0,0.25,9.58,1.77,0.25,0.25,0,0
國立,基隆市,1989,3,36,29,39,2,1,5,0.15,1.81,1.46,1.96,0.10,0.05,0.25
國立,新竹市,2822,1,8,4,53,0,4,4,0.04,0.28,0.14,1.88,0,0.14,0.14
國立,嘉義市,3928,8,48,19,82,7,1,21,0.20,1.22,0.48,2.09,0.18,0.03,0.53
國立,金門縣,557,1,16,1,7,1,0,6,0.18,2.87,0.18,1.26,0.18,0,1.08
國立,連江縣,84,0,2,0,0,0,0,0,0,2.38,0,0,0,0,0
縣市立,新北市,13283,15,100,55,213,4,6,124,0.11,0.75,0.41,1.60,0.03,0.05,0.93
縣市立,臺北市,21581,9,59,12,275,8,22,15,0.04,0.27,0.06,1.27,0.04,0.10,0.07
縣市立,桃園市,3195,7,10,12,26,2,3,2,0.22,0.31,0.38,0.81,0.06,0.09,0.06
縣市立,臺中市,2896,0,15,3,35,1,0,0,0,0.52,0.10,1.21,0.03,0,0
縣市立,臺南市,614,0,1,0,10,2,0,0,0,0.16,0,1.63,0.33,0,0
縣市立,高雄市,11510,15,68,16,240,3,13,19,0.13,0.59,0.14,2.09,0.03,0.11,0.17
縣市立,宜蘭縣,84,0,14,0,3,0,0,0,0,16.67,0,3.57,0,0,0
縣市立,新竹縣,189,0,0,0,8,0,0,0,0,0,0,4.23,0,0,0
縣市立,苗栗縣,652,0,9,13,4,0,0,1,0,1.38,1.99,0.61,0,0,0.15
縣市立,彰化縣,746,0,17,0,14,0,0,1,0,2.28,0,1.88,0,0,0.13
縣市立,南投縣,251,0,0,1,4,0,0,0,0,0,0.40,1.59,0,0,0
縣市立,雲林縣,341,1,7,1,13,0,0,0,0.29,2.05,0.29,3.81,0,0,0
縣市立,嘉義縣,204,0,0,0,3,0,0,0,0,0,0,1.47,0,0,0
縣市立,屏東縣,525,0,11,0,18,0,0,0,0,2.10,0,3.43,0,0,0
縣市立,臺東縣,12,0,0,0,0,0,0,1,0,0,0,0,0,0,8.33
縣市立,花蓮縣,39,1,7,1,1,0,0,0,2.56,17.95,2.56,2.56,0,0,0
縣市立,澎湖縣,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
縣市立,基隆市,373,0,18,0,0,1,0,0,0,4.83,0,0,0.27,0,0
縣市立,新竹市,837,0,10,2,8,1,0,1,0,1.19,0.24,0.96,0.12,0,0.12
縣市立,嘉義市,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
縣市立,金門縣,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
縣市立,連江縣,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
私立,新北市,15224,67,306,276,163,38,31,127,0.44,2.01,1.81,1.07,0.25,0.20,0.83
私立,臺北市,13570,52,161,124,122,24,73,53,0.38,1.19,0.91,0.90,0.18,0.54,0.39
私立,桃園市,15637,43,472,444,97,33,20,137,0.27,3.02,2.84,0.62,0.21,0.13,0.88
私立,臺中市,19824,54,304,245,130,20,24,133,0.27,1.53,1.24,0.66,0.10,0.12,0.67
私立,臺南市,9058,16,203,226,145,23,11,63,0.18,2.24,2.50,1.60,0.25,0.12,0.70
私立,高雄市,12934,100,425,349,109,47,19,103,0.77,3.29,2.70,0.84,0.36,0.15,0.80
私立,宜蘭縣,388,0,5,0,5,0,0,0,0,1.29,0,1.29,0,0,0
私立,新竹縣,2934,10,91,55,5,0,7,9,0.34,3.10,1.87,0.17,0,0.24,0.31
私立,苗栗縣,2138,15,87,67,13,6,3,42,0.70,4.07,3.13,0.61,0.28,0.14,1.96
私立,彰化縣,4198,12,132,99,27,19,0,1,0.29,3.14,2.36,0.64,0.45,0,0.02
私立,南投縣,1005,12,41,37,4,0,0,5,1.19,4.08,3.68,0.40,0,0,0.50
私立,雲林縣,2850,2,136,73,27,10,3,15,0.07,4.77,2.56,0.95,0.35,0.11,0.53
私立,嘉義縣,2204,15,73,79,17,2,1,43,0.68,3.31,3.58,0.77,0.09,0.05,1.95
私立,屏東縣,2055,8,121,169,19,12,1,10,0.39,5.89,8.22,0.92,0.58,0.05,0.49
私立,臺東縣,418,2,20,6,3,2,0,8,0.48,4.78,1.44,0.72,0.48,0,1.91
私立,花蓮縣,1395,1,71,0,4,4,4,26,0.07,5.09,0,0.29,0.29,0.29,1.86
私立,澎湖縣,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
私立,基隆市,1440,10,12,5,5,0,1,2,0.69,0.83,0.35,0.35,0,0.07,0.14
私立,新竹市,2697,6,107,41,6,2,9,8,0.22,3.97,1.52,0.22,0.07,0.33,0.30
私立,嘉義市,2579,1,103,61,38,7,0,6,0.04,3.99,2.37,1.47,0.27,0,0.23
私立,金門縣,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
私立,連江縣,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
