學程別,設立別,性別,畢業生人數,正在接受職業訓練人數,正在軍中服役人數,需要工作而未找到人數,補習或準備升學人數,健康不良在家休養人數,準備出國人數,其他人數,正在接受職業訓練比率,正在軍中服役比率,需要工作而未找到比率,補習或準備升學比率,健康不良在家休養比率,準備出國比率,其他比率
普通科,國立,男,12639 ,2 ,82 ,16 ,736 ,2 ,6 ,13 ,0.02 ,0.65 ,0.13 ,5.82 ,0.02 ,0.05 ,0.10 
普通科,國立,女,12901 ,2 ,0 ,11 ,475 ,1 ,2 ,6 ,0.02 ,0.00 ,0.09 ,3.68 ,0.01 ,0.02 ,0.05 
普通科,縣市立,男,22367 ,8 ,121 ,16 ,1147 ,4 ,19 ,14 ,0.04 ,0.54 ,0.07 ,5.13 ,0.02 ,0.08 ,0.06 
普通科,縣市立,女,24611 ,8 ,0 ,9 ,862 ,5 ,16 ,13 ,0.03 ,0.00 ,0.04 ,3.50 ,0.02 ,0.07 ,0.05 
普通科,私立,男,13146 ,27 ,89 ,12 ,685 ,21 ,33 ,10 ,0.21 ,0.68 ,0.09 ,5.21 ,0.16 ,0.25 ,0.08 
普通科,私立,女,12972 ,9 ,0 ,5 ,517 ,8 ,32 ,4 ,0.07 ,0.00 ,0.04 ,3.99 ,0.06 ,0.25 ,0.03 
專業群科,國立,男,13594 ,83 ,314 ,182 ,107 ,13 ,5 ,59 ,0.61 ,2.31 ,1.34 ,0.79 ,0.10 ,0.04 ,0.43 
專業群科,國立,女,9858 ,36 ,0 ,145 ,70 ,5 ,10 ,28 ,0.37 ,0.00 ,1.47 ,0.71 ,0.05 ,0.10 ,0.28 
專業群科,縣市立,男,9324 ,51 ,79 ,72 ,148 ,11 ,4 ,31 ,0.55 ,0.85 ,0.77 ,1.59 ,0.12 ,0.04 ,0.33 
專業群科,縣市立,女,5827 ,20 ,0 ,38 ,48 ,4 ,6 ,17 ,0.34 ,0.00 ,0.65 ,0.82 ,0.07 ,0.10 ,0.29 
專業群科,私立,男,30182 ,148 ,1264 ,589 ,177 ,75 ,69 ,177 ,0.49 ,4.19 ,1.95 ,0.59 ,0.25 ,0.23 ,0.59 
專業群科,私立,女,28193 ,115 ,0 ,488 ,158 ,50 ,94 ,125 ,0.41 ,0.00 ,1.73 ,0.56 ,0.18 ,0.33 ,0.44 
綜合高中,國立,男,2187 ,5 ,41 ,7 ,84 ,0 ,0 ,14 ,0.23 ,1.87 ,0.32 ,3.84 ,0.00 ,0.00 ,0.64 
綜合高中,國立,女,2970 ,3 ,0 ,15 ,60 ,0 ,3 ,3 ,0.10 ,0.00 ,0.51 ,2.02 ,0.00 ,0.10 ,0.10 
綜合高中,縣市立,男,1662 ,6 ,16 ,6 ,41 ,1 ,1 ,3 ,0.36 ,0.96 ,0.36 ,2.47 ,0.06 ,0.06 ,0.18 
綜合高中,縣市立,女,2045 ,0 ,0 ,3 ,46 ,0 ,1 ,0 ,0.00 ,0.00 ,0.15 ,2.25 ,0.00 ,0.05 ,0.00 
綜合高中,私立,男,2275 ,2 ,57 ,6 ,41 ,1 ,5 ,2 ,0.09 ,2.51 ,0.26 ,1.80 ,0.04 ,0.22 ,0.09 
綜合高中,私立,女,2734 ,6 ,0 ,20 ,26 ,4 ,4 ,7 ,0.22 ,0.00 ,0.73 ,0.95 ,0.15 ,0.15 ,0.26 
實用技能學程,國立,男,1440 ,9 ,88 ,37 ,4 ,8 ,1 ,22 ,0.63 ,6.11 ,2.57 ,0.28 ,0.56 ,0.07 ,1.53 
實用技能學程,國立,女,1024 ,2 ,0 ,37 ,7 ,7 ,2 ,3 ,0.20 ,0.00 ,3.61 ,0.68 ,0.68 ,0.20 ,0.29 
實用技能學程,縣市立,男,298 ,2 ,20 ,3 ,3 ,0 ,0 ,0 ,0.67 ,6.71 ,1.01 ,1.01 ,0.00 ,0.00 ,0.00 
實用技能學程,縣市立,女,155 ,0 ,0 ,3 ,0 ,0 ,0 ,3 ,0.00 ,0.00 ,1.94 ,0.00 ,0.00 ,0.00 ,1.94 
實用技能學程,私立,男,3939 ,36 ,285 ,224 ,13 ,12 ,3 ,23 ,0.91 ,7.24 ,5.69 ,0.33 ,0.30 ,0.08 ,0.58 
實用技能學程,私立,女,2919 ,22 ,0 ,205 ,15 ,8 ,2 ,16 ,0.75 ,0.00 ,7.02 ,0.51 ,0.27 ,0.07 ,0.55 
進修部,國立,男,1455 ,5 ,124 ,38 ,14 ,6 ,1 ,19 ,0.34 ,8.52 ,2.61 ,0.96 ,0.41 ,0.07 ,1.31 
進修部,國立,女,900 ,2 ,0 ,20 ,10 ,7 ,3 ,24 ,0.22 ,0.00 ,2.22 ,1.11 ,0.78 ,0.33 ,2.67 
進修部,縣市立,男,1105 ,6 ,61 ,11 ,11 ,0 ,1 ,19 ,0.54 ,5.52 ,1.00 ,1.00 ,0.00 ,0.09 ,1.72 
進修部,縣市立,女,720 ,2 ,0 ,5 ,2 ,2 ,0 ,63 ,0.28 ,0.00 ,0.69 ,0.28 ,0.28 ,0.00 ,8.75 
進修部,私立,男,4155 ,25 ,205 ,214 ,21 ,14 ,9 ,120 ,0.60 ,4.93 ,5.15 ,0.51 ,0.34 ,0.22 ,2.89 
進修部,私立,女,3425 ,21 ,0 ,186 ,14 ,20 ,5 ,59 ,0.61 ,0.00 ,5.43 ,0.41 ,0.58 ,0.15 ,1.72 
