"學年度","設立別","學程別","群科別","畢業生人數","正在接受職業訓練人數","正在軍中服役人數","需要工作而未找到人數","補習或準備升學人數","健康不良在家休養人數","準備出國人數","其他人數","正在接受職業訓練比率","正在軍中服役比率","需要工作而未找到比率","補習或準備升學比率","健康不良在家休養比率","準備出國比率","其他比率"
109,國立,進修部,機械群,218,2,10,2,0,0,0,2,0.917431192660551,4.58715596330275,0.917431192660551,0,0,0,0.917431192660551
109,國立,進修部,動力機械群,73,0,2,2,1,0,0,0,0,2.73972602739726,2.73972602739726,1.36986301369863,0,0,0
109,國立,進修部,電機與電子群,273,1,26,6,2,0,0,3,0.366300366300366,9.52380952380952,2.1978021978022,0.732600732600733,0,0,1.0989010989011
109,國立,進修部,化工群,10,0,0,0,0,0,0,1,0,0,0,0,0,0,10
109,國立,進修部,土木與建築群,17,1,0,0,0,0,0,1,5.88235294117647,0,0,0,0,0,5.88235294117647
109,國立,進修部,商業與管理群,629,3,5,17,7,6,0,19,0.476947535771065,0.794912559618442,2.7027027027027,1.11287758346582,0.95389507154213,0,3.02066772655008
109,國立,進修部,設計群,93,0,0,4,1,0,0,2,0,0,4.3010752688172,1.0752688172043,0,0,2.1505376344086
109,國立,進修部,農業群,38,1,1,0,1,1,0,0,2.63157894736842,2.63157894736842,0,2.63157894736842,2.63157894736842,0,0
109,國立,進修部,食品群,120,1,3,4,0,4,0,3,0.833333333333333,2.5,3.33333333333333,0,3.33333333333333,0,2.5
109,國立,進修部,家政群,119,0,1,1,1,2,0,0,0,0.840336134453782,0.840336134453782,0.840336134453782,1.68067226890756,0,0
109,國立,進修部,餐旅群,125,1,2,7,0,0,0,3,0.8,1.6,5.6,0,0,0,2.4
109,縣市立,普通科,學術群,45068,27,73,29,595,10,14,31,0.0599094701340197,0.161977456288276,0.0643472086624656,1.32022721221266,0.0221886926422295,0.0310641696991213,0.0687849471909115
109,縣市立,專業群科,機械群,2146,9,15,10,2,4,0,0,0.419384902143523,0.698974836905871,0.465983224603914,0.0931966449207828,0.186393289841566,0,0
109,縣市立,專業群科,動力機械群,741,2,7,3,5,0,0,1,0.269905533063428,0.944669365721997,0.404858299595142,0.67476383265857,0,0,0.134952766531714
109,縣市立,專業群科,電機與電子群,3390,2,13,8,25,1,1,8,0.0589970501474926,0.383480825958702,0.235988200589971,0.737463126843658,0.0294985250737463,0.0294985250737463,0.235988200589971
109,縣市立,專業群科,化工群,482,0,2,1,1,0,0,0,0,0.4149377593361,0.20746887966805,0.20746887966805,0,0,0
109,縣市立,專業群科,土木與建築群,548,0,2,0,1,0,0,0,0,0.364963503649635,0,0.182481751824818,0,0,0
109,縣市立,專業群科,商業與管理群,3409,0,5,6,9,1,1,2,0,0.146670577882077,0.176004693458492,0.264007040187738,0.0293341155764154,0.0293341155764154,0.0586682311528307
109,縣市立,專業群科,外語群,571,0,0,2,1,1,2,1,0,0,0.350262697022767,0.175131348511384,0.175131348511384,0.350262697022767,0.175131348511384
109,縣市立,專業群科,設計群,1229,0,1,1,6,0,1,1,0,0.081366965012205,0.081366965012205,0.48820179007323,0,0.081366965012205,0.081366965012205
109,縣市立,專業群科,農業群,290,4,0,1,0,0,0,0,1.37931034482759,0,0.344827586206897,0,0,0,0
109,縣市立,專業群科,食品群,127,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,縣市立,專業群科,家政群,412,0,0,0,3,2,0,0,0,0,0,0.728155339805825,0.485436893203883,0,0
