學程別,設立別,性別,畢業生人數,正在接受職業訓練人數,正在軍中服役人數,需要工作而未找到人數,補習或準備升學人數,健康不良在家休養人數,準備出國人數,其他人數,正在接受職業訓練比率,正在軍中服役比率,需要工作而未找到比率,補習或準備升學比率,健康不良在家休養比率,準備出國比率,其他比率
普通科,國立,男,17434,2,98,8,509,2,1,26,0.0114718366,0.5621199954,0.0458873466,2.9195824251,0.0114718366,0.0057359183,0.1491338763
普通科,國立,女,16833,2,0,1,241,1,3,5,0.0118814234,0,0.0059407117,1.431711519,0.0059407117,0.0178221351,0.0297035585
普通科,縣市立,男,19983,6,106,7,465,2,11,55,0.0300255217,0.5304508833,0.0350297753,2.3269779312,0.0100085072,0.0550467898,0.2752339489
普通科,縣市立,女,20770,2,0,9,261,2,24,37,0.009629273,0,0.0433317285,1.2566201252,0.009629273,0.1155512759,0.1781415503
普通科,私立,男,14248,13,111,15,366,4,9,20,0.0912408759,0.7790567097,0.1052779337,2.5687815834,0.0280741157,0.0631667602,0.1403705783
普通科,私立,女,14270,6,0,3,230,5,12,20,0.0420462509,0,0.0210231254,1.6117729502,0.0350385424,0.0840925018,0.1401541696
專業群(職業)科,國立,男,17529,53,504,147,173,25,6,69,0.3023560956,2.8752353243,0.8386103029,0.9869359347,0.1426207998,0.034228992,0.3936334075
專業群(職業)科,國立,女,13108,23,0,123,69,23,6,51,0.1754653647,0,0.9383582545,0.526396094,0.1754653647,0.0457735734,0.3890753738
專業群(職業)科,縣市立,男,6915,8,50,13,90,12,3,25,0.1156905278,0.723065799,0.1879971077,1.3015184382,0.1735357918,0.0433839479,0.3615328995
專業群(職業)科,縣市立,女,4057,7,0,24,48,4,10,8,0.1725412867,0,0.5915701257,1.1831402514,0.098595021,0.2464875524,0.1971900419
專業群(職業)科,私立,男,37205,175,2128,726,158,71,26,352,0.4703668862,5.7196613358,1.9513506249,0.4246741029,0.1908345652,0.0698830802,0.9461093939
專業群(職業)科,私立,女,34965,115,0,685,207,85,43,196,0.3289003289,0,1.9591019591,0.592020592,0.2431002431,0.122980123,0.5605605606
綜合高中,國立,男,4895,7,94,12,80,0,2,27,0.1430030644,1.9203268641,0.2451481103,1.6343207354,0,0.0408580184,0.5515832482
綜合高中,國立,女,5833,0,0,14,48,3,5,14,0,0,0.2400137151,0.822904166,0.0514315104,0.085719184,0.2400137151
綜合高中,縣市立,男,1829,0,12,0,38,1,2,6,0,0.6560962274,0,2.0776380536,0.0546746856,0.1093493712,0.3280481137
綜合高中,縣市立,女,1928,0,0,1,28,1,3,4,0,0,0.0518672199,1.4522821577,0.0518672199,0.1556016598,0.2074688797
綜合高中,私立,男,4922,13,143,42,37,6,1,22,0.2641202763,2.9053230394,0.8533116619,0.7517269403,0.121901666,0.0203169443,0.4469727753
綜合高中,私立,女,6013,10,0,39,30,2,3,38,0.1663063363,0,0.6485947115,0.4989190088,0.0332612673,0.0498919009,0.6319640778
實用技能學程,國立,男,1992,11,194,36,8,3,0,36,0.5522088353,9.7389558233,1.8072289157,0.4016064257,0.1506024096,0,1.8072289157
實用技能學程,國立,女,1488,9,0,32,6,2,1,8,0.6048387097,0,2.1505376344,0.4032258065,0.1344086022,0.0672043011,0.5376344086
實用技能學程,縣市立,男,241,0,16,5,0,2,0,3,0,6.6390041494,2.0746887967,0,0.8298755187,0,1.244813278
實用技能學程,縣市立,女,153,1,0,4,0,2,0,5,0.6535947712,0,2.614379085,0,1.3071895425,0,3.2679738562
實用技能學程,私立,男,4712,11,490,207,20,15,2,98,0.2334465195,10.3989813243,4.3930390492,0.4244482173,0.318336163,0.0424448217,2.0797962649
實用技能學程,私立,女,3996,23,0,259,21,16,2,61,0.5755755756,0,6.4814814815,0.5255255255,0.4004004004,0.0500500501,1.5265265265
