學年度,設立別,學校所在地別,畢業生人數,正在接受職業訓練人數,正在軍中服役人數,需要工作而未找到人數,補習或準備升學人數,健康不良在家休養人數,準備出國人數,其他人數
109,國立,新竹市,898,0,2,1,19,0,1,0
109,私立,新北市,9616,14,69,256,54,21,12,65
109,私立,臺北市,8405,41,72,86,64,26,26,17
109,私立,桃園市,11638,25,135,382,63,23,14,101
109,私立,臺中市,13940,24,118,216,106,14,19,28
109,私立,臺南市,5549,23,43,95,100,8,0,36
109,私立,高雄市,9019,52,120,288,77,30,16,42
109,私立,宜蘭縣,355,0,0,0,1,0,0,0
109,私立,新竹市,1916,0,30,41,9,10,1,7
109,私立,苗栗縣,1394,12,10,33,2,4,0,5
109,私立,彰化縣,2545,4,30,113,10,8,1,11
109,私立,南投縣,767,1,49,31,3,1,0,10
109,私立,雲林縣,2061,6,33,78,10,2,1,13
109,私立,嘉義市,1522,4,6,99,9,2,3,9
109,私立,屏東縣,1244,1,19,91,14,7,0,15
109,私立,臺東縣,262,7,1,2,5,0,0,2
109,私立,花蓮縣,974,16,23,4,7,4,0,23
109,私立,基隆市,907,0,8,10,3,0,1,3
109,私立,新竹市,2451,3,25,40,8,1,2,2
109,私立,嘉義市,1927,2,16,137,39,7,0,56
110,國立,新北市,443,0,1,0,4,0,0,0
110,國立,臺北市,1205,5,1,0,18,0,2,1
110,國立,桃園市,1361,1,10,2,19,0,0,4
110,國立,臺中市,1326,4,6,20,23,2,0,1
110,國立,臺南市,8407,12,92,52,126,23,3,18
110,國立,高雄市,3685,23,13,18,55,0,1,9
110,國立,宜蘭縣,2888,1,7,16,16,4,0,29
110,國立,新竹市,1293,3,2,5,11,0,1,2
110,國立,苗栗縣,2362,2,6,14,9,1,0,2
110,國立,彰化縣,7053,8,21,47,37,4,3,24
110,國立,南投縣,2520,6,30,54,24,1,0,4
110,國立,雲林縣,2799,2,13,30,46,2,1,8
110,國立,嘉義市,737,6,7,21,9,0,0,19
110,國立,屏東縣,2891,23,33,34,32,3,0,29
110,國立,臺東縣,1147,0,4,0,9,0,0,13
110,國立,花蓮縣,1512,0,9,18,16,1,2,6
110,國立,澎湖縣,611,2,6,10,7,1,0,5
110,國立,基隆市,952,1,1,15,2,0,0,2
110,國立,新竹市,2422,0,2,5,26,1,0,1
110,國立,嘉義市,3196,2,6,21,47,3,0,4
110,國立,金門縣,489,4,10,1,0,0,0,9
110,國立,連江縣,60,0,0,0,1,0,0,0
110,國立,新北市,11453,10,30,54,108,11,9,77
110,國立,臺北市,17468,15,17,10,253,1,10,30
110,國立,桃園市,7392,10,19,7,92,2,3,15
110,國立,臺中市,11048,19,41,38,126,7,3,18
110,國立,臺南市,511,0,1,0,14,0,0,0
110,國立,高雄市,9074,15,23,25,185,2,5,25
110,國立,宜蘭縣,84,0,0,0,0,0,0,0
110,國立,新竹市,428,0,1,0,4,0,0,0
110,國立,苗栗縣,519,0,1,3,2,5,0,0
110,國立,彰化縣,713,0,1,0,6,0,0,2
110,國立,南投縣,194,0,0,0,15,0,0,0
110,國立,雲林縣,346,3,0,0,6,0,0,1
110,國立,嘉義市,274,0,0,0,4,0,0,3
110,國立,屏東縣,490,0,0,0,3,0,0,0
110,國立,臺東縣,13,0,2,1,0,0,0,0
110,國立,花蓮縣,44,0,0,0,2,0,0,0
110,國立,基隆市,316,0,0,0,6,0,0,0
110,國立,新竹市,843,3,4,0,4,0,0,1
110,私立,新北市,8446,22,50,141,60,25,27,70
110,私立,臺北市,7017,18,56,29,67,20,17,31
110,私立,桃園市,10380,25,104,210,34,17,21,70
110,私立,臺中市,12667,38,126,163,124,15,15,23
110,私立,臺南市,5143,15,64,56,84,3,3,43
110,私立,高雄市,8141,39,126,203,50,21,18,65
110,私立,宜蘭縣,330,0,0,0,0,0,0,2
110,私立,新竹市,1826,4,13,30,7,1,0,0
110,私立,苗栗縣,1183,1,7,13,4,4,0,8
110,私立,彰化縣,2338,1,16,75,17,7,1,15
110,私立,南投縣,738,0,40,17,0,1,0,0
110,私立,雲林縣,1723,3,12,23,6,0,2,1
110,私立,嘉義市,1287,4,15,22,19,1,0,6
110,私立,屏東縣,998,4,5,43,9,4,1,2
110,私立,臺東縣,198,0,2,8,2,0,0,1
110,私立,花蓮縣,830,10,5,7,10,6,1,22
110,私立,基隆市,861,0,14,1,2,0,0,0
110,私立,新竹市,2215,9,27,11,2,5,5,4
110,私立,嘉義市,1629,2,53,39,28,4,1,0
