學年度,設立別,學校所在地別,畢業生人數,正在接受職業訓練人數,正在軍中服役人數,需要工作而未找到人數,補習或準備升學人數,健康不良在家休養人數,準備出國人數,其他人數
103,私立,臺南市,11060,21,259,208,157,11,7,56
103,私立,高雄市,15489,77,513,352,232,34,29,140
103,私立,宜蘭縣,451,0,2,0,9,0,4,0
103,私立,新竹市,3494,12,156,69,15,3,1,9
103,私立,苗栗縣,2874,17,71,80,38,7,1,7
103,私立,彰化縣,5219,72,240,157,30,15,1,6
103,私立,南投縣,1359,0,51,37,7,0,1,2
103,私立,雲林縣,3327,1,168,31,43,18,1,9
103,私立,嘉義市,2357,5,81,103,23,3,0,16
103,私立,屏東縣,2677,0,161,173,39,6,0,8
103,私立,臺東縣,463,7,34,8,18,2,0,32
103,私立,花蓮縣,1725,2,61,9,10,11,4,26
103,私立,澎湖縣,0,0,0,0,0,0,0,0
103,私立,基隆市,1634,1,28,13,9,0,0,4
103,私立,新竹市,3282,4,107,30,12,7,3,15
103,私立,嘉義市,2955,2,101,172,21,16,5,7
103,私立,金門縣,0,0,0,0,0,0,0,0
103,私立,連江縣,0,0,0,0,0,0,0,0
104,國立,新北市,530,0,0,0,7,0,0,0
104,國立,臺北市,1436,0,4,0,28,0,8,2
104,國立,桃園市,7085,2,73,38,64,4,4,8
104,國立,臺中市,11962,9,105,94,176,5,1,22
104,國立,臺南市,10855,22,146,69,153,15,6,22
104,國立,高雄市,4684,3,42,7,67,5,1,9
104,國立,宜蘭縣,4003,7,114,37,25,7,3,13
104,國立,新竹市,1548,8,14,1,15,5,1,2
104,國立,苗栗縣,3053,10,30,12,61,1,2,9
104,國立,彰化縣,8865,28,74,72,84,4,1,42
104,國立,南投縣,3680,6,66,44,56,8,1,12
104,國立,雲林縣,3610,6,64,38,59,1,1,16
104,國立,嘉義市,1021,1,38,7,5,2,0,6
104,國立,屏東縣,4197,16,173,84,97,4,1,19
104,國立,臺東縣,1431,1,72,17,22,4,0,8
104,國立,花蓮縣,2159,1,106,12,6,2,5,11
104,國立,澎湖縣,793,2,76,14,2,2,0,0
104,國立,基隆市,1989,3,36,29,39,2,1,5
104,國立,新竹市,2822,1,8,4,53,0,4,4
104,國立,嘉義市,3928,8,48,19,82,7,1,21
104,國立,金門縣,557,1,16,1,7,1,0,6
104,國立,連江縣,84,0,2,0,0,0,0,0
104,國立,新北市,13283,15,100,55,213,4,6,124
104,國立,臺北市,21581,9,59,12,275,8,22,15
104,國立,桃園市,3195,7,10,12,26,2,3,2
104,國立,臺中市,2896,0,15,3,35,1,0,0
104,國立,臺南市,614,0,1,0,10,2,0,0
104,國立,高雄市,11510,15,68,16,240,3,13,19
104,國立,宜蘭縣,84,0,14,0,3,0,0,0
104,國立,新竹市,189,0,0,0,8,0,0,0
104,國立,苗栗縣,652,0,9,13,4,0,0,1
104,國立,彰化縣,746,0,17,0,14,0,0,1
104,國立,南投縣,251,0,0,1,4,0,0,0
104,國立,雲林縣,341,1,7,1,13,0,0,0
104,國立,嘉義市,204,0,0,0,3,0,0,0
104,國立,屏東縣,525,0,11,0,18,0,0,0
104,國立,臺東縣,12,0,0,0,0,0,0,1
104,國立,花蓮縣,39,1,7,1,1,0,0,0
104,國立,澎湖縣,0,0,0,0,0,0,0,0
104,國立,基隆市,373,0,18,0,0,1,0,0
104,國立,新竹市,837,0,10,2,8,1,0,1
104,國立,嘉義市,0,0,0,0,0,0,0,0
104,國立,金門縣,0,0,0,0,0,0,0,0
104,國立,連江縣,0,0,0,0,0,0,0,0
104,私立,新北市,15224,67,306,276,163,38,31,127
104,私立,臺北市,13570,52,161,124,122,24,73,53
104,私立,桃園市,15637,43,472,444,97,33,20,137
104,私立,臺中市,19824,54,304,245,130,20,24,133
104,私立,臺南市,9058,16,203,226,145,23,11,63
104,私立,高雄市,12934,100,425,349,109,47,19,103
104,私立,宜蘭縣,388,0,5,0,5,0,0,0
104,私立,新竹市,2934,10,91,55,5,0,7,9
104,私立,苗栗縣,2138,15,87,67,13,6,3,42
104,私立,彰化縣,4198,12,132,99,27,19,0,1
104,私立,南投縣,1005,12,41,37,4,0,0,5
104,私立,雲林縣,2850,2,136,73,27,10,3,15
104,私立,嘉義市,2204,15,73,79,17,2,1,43
104,私立,屏東縣,2055,8,121,169,19,12,1,10
104,私立,臺東縣,418,2,20,6,3,2,0,8
104,私立,花蓮縣,1395,1,71,0,4,4,4,26
104,私立,澎湖縣,0,0,0,0,0,0,0,0
104,私立,基隆市,1440,10,12,5,5,0,1,2
104,私立,新竹市,2697,6,107,41,6,2,9,8
104,私立,嘉義市,2579,1,103,61,38,7,0,6
104,私立,金門縣,0,0,0,0,0,0,0,0
104,私立,連江縣,0,0,0,0,0,0,0,0
105,國立,新北市,477,0,2,0,3,1,0,0
105,國立,臺北市,1295,0,4,0,22,0,0,7
105,國立,桃園市,6439,6,28,23,84,0,1,45
105,國立,臺中市,1523,1,24,33,8,0,0,2
105,國立,臺南市,9963,15,188,42,132,18,5,23
105,國立,高雄市,4265,7,71,27,60,3,1,11
105,國立,宜蘭縣,3716,9,87,48,31,6,2,3
105,國立,新竹市,1493,2,7,6,9,0,1,0
105,國立,苗栗縣,2909,5,36,11,45,2,2,3
105,國立,彰化縣,8381,29,78,64,69,2,5,40
105,國立,南投縣,3205,2,63,45,35,5,2,14
105,國立,雲林縣,3421,6,72,38,66,2,0,9
105,國立,嘉義市,892,1,40,12,8,0,0,12
105,國立,屏東縣,3850,7,182,48,73,1,1,33
105,國立,臺東縣,1238,5,61,9,18,1,1,8
105,國立,花蓮縣,1914,9,104,21,29,4,0,8
105,國立,澎湖縣,737,0,80,28,0,2,0,0
105,國立,基隆市,1823,4,27,10,28,3,0,10
105,國立,新竹市,2680,7,5,6,30,0,0,2
105,國立,嘉義市,3594,12,29,34,74,2,1,16
105,國立,金門縣,501,2,21,0,8,2,0,6
105,國立,連江縣,98,0,2,1,0,0,0,0
105,國立,新北市,12765,6,66,72,87,9,3,75
105,國立,臺北市,18953,27,37,30,237,3,22,24
105,國立,桃園市,3256,2,3,1,45,0,4,12
105,國立,臺中市,11878,17,80,54,124,4,2,26
105,國立,臺南市,595,0,0,0,6,0,0,4
105,國立,高雄市,10866,21,66,9,208,3,9,7
105,國立,宜蘭縣,64,0,0,0,0,0,1,0
105,國立,新竹市,213,0,1,0,0,0,0,1
105,國立,苗栗縣,575,0,5,2,11,0,0,3
105,國立,彰化縣,839,0,9,1,14,0,0,0
105,國立,南投縣,226,1,2,0,6,0,0,0
105,國立,雲林縣,378,47,3,0,4,0,0,0
105,國立,嘉義市,205,1,4,0,7,0,0,0
105,國立,屏東縣,543,0,16,0,13,0,0,0
105,國立,臺東縣,6,0,0,1,0,0,1,0
105,國立,花蓮縣,44,0,3,1,0,0,0,1
105,國立,澎湖縣,0,0,0,0,0,0,0,0
105,國立,基隆市,377,0,8,0,3,0,0,0
105,國立,新竹市,843,0,6,0,7,1,3,1
105,國立,嘉義市,0,0,0,0,0,0,0,0
105,國立,金門縣,0,0,0,0,0,0,0,0
105,國立,連江縣,0,0,0,0,0,0,0,0
105,私立,新北市,14140,47,208,226,155,41,38,89
105,私立,臺北市,12534,40,91,108,67,26,14,26
105,私立,桃園市,15026,74,345,312,82,29,13,191
105,私立,臺中市,19186,31,234,260,143,23,40,37
105,私立,臺南市,8517,24,235,197,139,15,10,63
105,私立,高雄市,11743,83,308,431,94,27,29,51
105,私立,宜蘭縣,389,0,0,0,2,0,0,0
105,私立,新竹市,2606,2,85,65,17,1,1,9
105,私立,苗栗縣,2052,8,72,56,12,3,2,7
105,私立,彰化縣,3903,52,122,147,31,24,5,8
105,私立,南投縣,1110,3,26,45,16,6,2,17
105,私立,雲林縣,2889,2,57,50,41,9,4,40
105,私立,嘉義市,1934,20,46,37,23,8,6,19
105,私立,屏東縣,1999,11,113,132,49,3,5,29
105,私立,臺東縣,447,1,36,7,5,0,0,4
105,私立,花蓮縣,1334,8,46,0,8,0,1,35
105,私立,澎湖縣,0,0,0,0,0,0,0,0
105,私立,基隆市,1513,2,37,17,5,3,0,0
105,私立,新竹市,2792,5,61,65,6,4,4,3
105,私立,嘉義市,2488,0,103,63,23,6,2,3
105,私立,金門縣,0,0,0,0,0,0,0,0
105,私立,連江縣,0,0,0,0,0,0,0,0
106,國立,新北市,482,0,2,1,12,0,0,0
106,國立,臺北市,1351,0,3,0,46,0,4,10
106,國立,桃園市,1589,0,6,4,22,1,0,0
106,國立,臺中市,1465,3,7,12,26,0,0,7
106,國立,臺南市,9999,11,135,64,196,17,6,84
106,國立,高雄市,4388,9,75,28,119,2,1,7
106,國立,宜蘭縣,3578,5,75,33,57,1,2,14
106,國立,新竹市,1462,0,2,8,31,0,1,2
106,國立,苗栗縣,2885,0,27,20,57,2,1,6
106,國立,彰化縣,8231,25,80,86,116,7,0,24
106,國立,南投縣,3324,4,68,30,112,2,1,24
106,國立,雲林縣,3305,3,35,44,65,4,1,6
106,國立,嘉義市,996,11,18,25,18,0,0,6
106,國立,屏東縣,3867,30,57,75,85,11,4,34
106,國立,臺東縣,1299,0,61,12,23,1,0,10
106,國立,花蓮縣,1931,4,27,16,41,2,0,25
106,國立,澎湖縣,757,5,18,16,22,4,2,8
106,國立,基隆市,1700,7,18,14,23,2,2,6
106,國立,新竹市,2706,4,7,1,53,0,0,0
106,國立,嘉義市,3657,6,22,28,126,0,1,5
106,國立,金門縣,558,5,26,0,8,1,0,2
106,國立,連江縣,115,0,2,0,1,0,0,1
106,國立,新北市,13204,9,71,61,284,13,7,74
106,國立,臺北市,19229,28,31,29,404,10,36,29
106,國立,桃園市,8025,1,21,38,144,1,1,17
106,國立,臺中市,12283,18,73,52,255,7,11,27
106,國立,臺南市,584,0,3,0,21,0,1,0
106,國立,高雄市,10899,8,45,13,448,4,3,28
106,國立,宜蘭縣,89,0,0,0,5,0,0,2
106,國立,新竹市,407,0,0,0,36,0,1,0
106,國立,苗栗縣,624,2,9,5,11,0,0,3
106,國立,彰化縣,934,0,13,1,34,2,0,2
106,國立,南投縣,234,0,1,2,16,0,0,0
106,國立,雲林縣,405,0,12,1,3,0,0,0
106,國立,嘉義市,231,0,3,0,4,0,0,0
106,國立,屏東縣,640,0,3,2,27,0,0,1
106,國立,臺東縣,12,0,0,1,0,0,0,0
106,國立,花蓮縣,46,1,1,1,0,0,0,1
106,國立,澎湖縣,0,0,0,0,0,0,0,0
106,國立,基隆市,376,0,0,1,7,0,0,0
106,國立,新竹市,848,0,7,0,7,0,0,1
106,國立,嘉義市,0,0,0,0,0,0,0,0
106,國立,金門縣,0,0,0,0,0,0,0,0
106,國立,連江縣,0,0,0,0,0,0,0,0
106,私立,新北市,14836,41,167,208,218,36,46,63
106,私立,臺北市,13291,17,112,83,109,16,47,24
106,私立,桃園市,15570,43,294,339,160,26,23,143
106,私立,臺中市,19339,26,260,235,243,18,38,44
106,私立,臺南市,9173,39,218,208,196,20,7,57
106,私立,高雄市,12908,63,256,373,175,42,49,70
106,私立,宜蘭縣,515,0,4,0,37,0,0,0
106,私立,新竹市,2749,5,65,50,32,3,1,9
106,私立,苗栗縣,2049,6,64,91,24,4,3,5
106,私立,彰化縣,4214,15,48,85,52,13,3,3
106,私立,南投縣,1258,9,33,70,7,3,1,8
106,私立,雲林縣,3185,1,80,187,42,2,1,16
106,私立,嘉義市,2156,20,78,51,28,2,5,20
106,私立,屏東縣,2265,9,35,98,35,1,6,30
106,私立,臺東縣,417,3,5,10,5,1,0,1
106,私立,花蓮縣,1290,5,37,17,15,5,8,30
106,私立,澎湖縣,0,0,0,0,0,0,0,0
106,私立,基隆市,1796,4,42,7,13,0,0,4
106,私立,新竹市,2808,9,30,35,11,3,3,0
106,私立,嘉義市,2754,4,67,54,51,7,2,0
106,私立,金門縣,0,0,0,0,0,0,0,0
