學年度,設立別,學校所在地別,畢業生人數,未升學就業人數,正在接受職業訓練人數,正在軍中服役人數,需要工作而未找到人數,補習或準備升學人數,健康不良在家休養人數,準備出國人數
105,國立,屏東縣,4393,341,7,198,48,86,1,1
105,國立,彰化縣,9220,271,29,87,65,83,2,5
105,國立,新北市,13242,249,6,68,72,90,10,3
105,國立,新竹市,5229,91,9,19,12,46,1,4
105,國立,桃園市,9695,197,8,31,24,129,0,5
105,國立,臺中市,13401,347,18,104,87,132,4,2
105,國立,臺北市,20248,382,27,41,30,259,3,22
105,國立,臺南市,10558,406,15,188,42,138,18,5
105,國立,臺東縣,1244,97,5,61,10,18,1,2
105,國立,花蓮縣,1958,171,9,107,22,29,4,0
105,國立,苗栗縣,3484,119,5,41,13,56,2,2
105,國立,雲林縣,3799,238,53,75,38,70,2,0
105,國立,高雄市,15131,485,28,137,36,268,6,10
105,私立,南投縣,1110,98,3,26,45,16,6,2
105,私立,嘉義市,4422,337,20,149,100,46,14,8
105,私立,基隆市,1513,64,2,37,17,5,3,0
105,私立,外島,0,0,0,0,0,0,0,0
105,私立,宜蘭縣,389,2,0,0,0,2,0,0
105,私立,屏東縣,1999,313,11,113,132,49,3,5
105,私立,彰化縣,3903,381,52,122,147,31,24,5
105,私立,新北市,14140,715,47,208,226,155,41,38
105,私立,新竹市,5398,316,7,146,130,23,5,5
105,私立,桃園市,15026,855,74,345,312,82,29,13
105,私立,臺中市,19186,731,31,234,260,143,23,40
105,私立,臺北市,12534,346,40,91,108,67,26,14
105,私立,臺南市,8517,620,24,235,197,139,15,10
105,私立,臺東縣,447,49,1,36,7,5,0,0
105,私立,花蓮縣,1334,63,8,46,0,8,0,1
105,私立,苗栗縣,2052,153,8,72,56,12,3,2
105,私立,雲林縣,2889,163,2,57,50,41,9,4
105,私立,高雄市,11743,972,83,308,431,94,27,29
106,國立,南投縣,3558,236,4,69,32,128,2,1
106,國立,嘉義市,4884,262,17,43,53,148,0,1
106,國立,基隆市,2076,74,7,18,15,30,2,2
106,國立,外島,1430,110,10,46,16,31,5,2
106,國立,宜蘭縣,3667,178,5,75,33,62,1,2
106,國立,屏東縣,4507,294,30,60,77,112,11,4
106,國立,彰化縣,9165,364,25,93,87,150,9,0
106,國立,新北市,13686,460,9,73,62,296,13,7
106,國立,新竹市,5423,158,4,16,9,127,0,2
106,國立,桃園市,9614,239,1,27,42,166,2,1
106,國立,臺中市,13748,464,21,80,64,281,7,11
106,國立,臺北市,20580,591,28,34,29,450,10,40
106,國立,臺南市,10583,454,11,138,64,217,17,7
106,國立,臺東縣,1311,98,0,61,13,23,1,0
106,國立,花蓮縣,1977,93,5,28,17,41,2,0
106,國立,苗栗縣,3509,134,2,36,25,68,2,1
106,國立,雲林縣,3710,168,3,47,45,68,4,1
106,國立,高雄市,15287,755,17,120,41,567,6,4
106,私立,南投縣,1258,123,9,33,70,7,3,1
106,私立,嘉義市,4910,369,24,145,105,79,9,7
106,私立,基隆市,1796,66,4,42,7,13,0,0
106,私立,外島,0,0,0,0,0,0,0,0
106,私立,宜蘭縣,515,41,0,4,0,37,0,0
106,私立,屏東縣,2265,184,9,35,98,35,1,6
106,私立,彰化縣,4214,216,15,48,85,52,13,3
106,私立,新北市,14836,716,41,167,208,218,36,46
106,私立,新竹市,5557,247,14,95,85,43,6,4
106,私立,桃園市,15570,885,43,294,339,160,26,23
106,私立,臺中市,19339,820,26,260,235,243,18,38
106,私立,臺北市,13291,384,17,112,83,109,16,47
106,私立,臺南市,9173,688,39,218,208,196,20,7
106,私立,臺東縣,417,24,3,5,10,5,1,0
106,私立,花蓮縣,1290,87,5,37,17,15,5,8
106,私立,苗栗縣,2049,192,6,64,91,24,4,3
106,私立,雲林縣,3185,313,1,80,187,42,2,1
106,私立,高雄市,12908,958,63,256,373,175,42,49
107,國立,南投縣,3438,156,4,23,36,90,3,0
107,國立,嘉義市,4857,273,15,63,43,148,3,1
107,國立,基隆市,1980,86,4,12,15,52,3,0
107,國立,外島,1440,65,4,26,20,13,1,1
107,國立,宜蘭縣,3603,242,4,84,44,101,3,6
107,國立,屏東縣,4271,261,22,39,82,113,4,1
107,國立,彰化縣,9182,335,19,70,58,176,7,5
107,國立,新北市,13418,600,10,65,69,437,10,9
107,國立,新竹市,5556,180,9,13,14,144,0,0
107,國立,桃園市,9548,386,7,44,22,306,3,4
107,國立,臺中市,13812,571,26,80,82,372,4,7
107,國立,臺北市,20061,723,49,38,14,602,3,17
107,國立,臺南市,10517,541,14,105,65,335,15,7
107,國立,臺東縣,1262,120,4,72,6,36,0,2
107,國立,花蓮縣,1817,82,2,23,13,40,2,2
107,國立,苗栗縣,3557,160,10,36,12,99,2,1
107,國立,雲林縣,3747,235,31,78,32,88,6,0
107,國立,高雄市,15016,888,18,75,47,723,7,18
107,私立,南投縣,1079,80,5,28,27,18,0,2
107,私立,嘉義市,4656,476,35,155,181,55,6,44
107,私立,基隆市,1503,36,2,15,10,9,0,0
107,私立,外島,0,0,0,0,0,0,0,0
107,私立,宜蘭縣,462,13,0,8,0,5,0,0
107,私立,屏東縣,1941,245,19,78,87,51,7,3
107,私立,彰化縣,3748,275,21,100,88,56,9,1
107,私立,新北市,13198,748,77,156,182,283,24,26
107,私立,新竹市,5380,270,9,131,75,38,14,3
107,私立,桃園市,15069,956,64,318,333,200,29,12
107,私立,臺中市,18304,908,28,248,244,306,34,48
107,私立,臺北市,12198,485,30,140,72,159,26,58
107,私立,臺南市,8173,537,16,167,157,175,8,14
107,私立,臺東縣,407,18,5,0,4,7,1,1
107,私立,花蓮縣,1212,68,3,26,13,21,3,2
107,私立,苗栗縣,1919,120,3,36,58,14,7,2
107,私立,雲林縣,2860,258,24,67,100,56,7,4
107,私立,高雄市,11831,903,70,227,318,214,38,36
108,國立,南投縣,3113,124,6,29,26,58,5,0
108,國立,嘉義市,4596,217,6,39,46,124,2,0
108,國立,基隆市,1628,64,6,6,18,34,0,0
108,國立,外島,1194,41,4,16,4,15,2,0
108,國立,宜蘭縣,3293,162,5,53,36,62,5,1
108,國立,屏東縣,3959,189,9,58,27,88,5,2
108,國立,彰化縣,8982,276,21,42,85,117,11,0
108,國立,新北市,12669,448,12,57,61,302,10,6
108,國立,新竹市,5407,134,1,26,15,88,4,0
108,國立,桃園市,9407,286,8,46,20,197,7,8
108,國立,臺中市,13606,404,22,72,63,236,7,4
108,國立,臺北市,19307,557,14,28,27,468,4,16
108,國立,臺南市,9770,390,17,84,68,206,11,4
108,國立,臺東縣,1244,56,2,15,6,27,6,0
108,國立,花蓮縣,1660,68,4,7,20,36,1,0
108,國立,苗栗縣,3331,88,0,19,16,51,1,1
108,國立,雲林縣,3538,185,6,55,41,74,8,1
108,國立,高雄市,14178,509,33,72,40,350,6,8
108,私立,南投縣,884,117,2,42,70,3,0,0
108,私立,嘉義市,3878,291,4,91,143,35,6,12
108,私立,基隆市,1053,25,0,12,4,7,2,0
108,私立,外島,0,0,0,0,0,0,0,0
108,私立,宜蘭縣,332,9,0,5,0,4,0,0
108,私立,屏東縣,1395,138,19,24,54,35,6,0
108,私立,彰化縣,2547,154,7,35,55,43,14,0
108,私立,新北市,10245,470,39,100,182,117,17,15
108,私立,新竹市,4351,167,9,72,47,34,3,2
108,私立,桃園市,12388,673,38,237,286,86,17,9
108,私立,臺中市,14796,715,39,193,261,182,18,22
108,私立,臺北市,8944,299,6,81,60,120,12,20
108,私立,臺南市,6126,304,21,60,115,99,5,4
108,私立,臺東縣,310,27,4,17,3,0,2,1
108,私立,花蓮縣,1008,35,6,12,5,10,2,0
108,私立,苗栗縣,1539,102,0,36,43,13,8,2
108,私立,雲林縣,2075,121,11,26,44,38,2,0
108,私立,高雄市,9468,727,86,149,292,111,33,56
109,國立,南投縣,2902,88,5,32,27,23,1,0
109,國立,嘉義市,4442,135,9,23,44,56,1,2
109,國立,基隆市,1453,35,5,6,16,5,1,2
109,國立,外島,1221,58,6,25,14,8,4,1
109,國立,宜蘭縣,3138,87,4,27,27,22,7,0
109,國立,屏東縣,3829,134,9,27,51,43,2,2
109,國立,彰化縣,8404,183,18,63,54,42,5,1
109,國立,新北市,12196,275,15,46,43,138,29,4
109,國立,新竹市,5315,85,4,8,12,59,0,2
109,國立,桃園市,8912,129,8,20,25,71,2,3
109,國立,臺中市,12979,303,26,60,75,127,13,2
109,國立,臺北市,19063,250,12,27,30,166,7,8
109,國立,臺南市,9101,301,17,80,81,93,29,1
109,國立,臺東縣,1208,27,1,11,5,10,0,0
109,國立,花蓮縣,1605,50,2,10,22,12,4,0
109,國立,苗栗縣,3046,38,0,8,15,13,2,0
109,國立,雲林縣,3312,107,8,41,27,25,6,0
109,國立,高雄市,13291,347,28,56,31,225,3,4
109,私立,南投縣,767,85,1,49,31,3,1,0
109,私立,嘉義市,3449,324,6,22,236,48,9,3
109,私立,基隆市,907,22,0,8,10,3,0,1
109,私立,宜蘭縣,355,1,0,0,0,1,0,0
109,私立,屏東縣,1244,132,1,19,91,14,7,0
109,私立,彰化縣,2545,166,4,30,113,10,8,1
109,私立,新北市,9616,426,14,69,256,54,21,12
109,私立,新竹市,4367,170,3,55,81,17,11,3
109,私立,桃園市,11638,642,25,135,382,63,23,14
109,私立,臺中市,13940,497,24,118,216,106,14,19
109,私立,臺北市,8405,315,41,72,86,64,26,26
109,私立,臺南市,5549,269,23,43,95,100,8,0
109,私立,臺東縣,262,15,7,1,2,5,0,0
109,私立,花蓮縣,974,54,16,23,4,7,4,0
109,私立,苗栗縣,1394,61,12,10,33,2,4,0
109,私立,雲林縣,2061,130,6,33,78,10,2,1
109,私立,高雄市,9019,583,52,120,288,77,30,16
110,國立,南投縣,2714,130,6,30,54,39,1,0
110,國立,嘉義市,4207,126,8,13,42,60,3,0
110,國立,基隆市,1268,25,1,1,15,8,0,0
110,國立,外島,1160,42,6,16,11,8,1,0
110,國立,宜蘭縣,2972,44,1,7,16,16,4,0
110,國立,屏東縣,3381,128,23,33,34,35,3,0
110,國立,彰化縣,7766,127,8,22,47,43,4,3
110,國立,新北市,11896,227,10,31,54,112,11,9
110,國立,新竹市,4986,72,6,9,10,45,1,1
110,國立,桃園市,8753,165,11,29,9,111,2,3
110,國立,臺中市,12374,289,23,47,58,149,9,3
110,國立,臺北市,18673,332,20,18,10,271,1,12
110,國立,臺南市,8918,323,12,93,52,140,23,3
110,國立,臺東縣,1160,16,0,6,1,9,0,0
110,國立,花蓮縣,1556,48,0,9,18,18,1,2
110,國立,苗栗縣,2881,43,2,7,17,11,6,0
110,國立,雲林縣,3145,103,5,13,30,52,2,1
110,國立,高雄市,12759,365,38,36,43,240,2,6
110,私立,南投縣,738,58,0,40,17,0,1,0
110,私立,嘉義市,2916,188,6,68,61,47,5,1
110,私立,基隆市,861,17,0,14,1,2,0,0
110,私立,宜蘭縣,330,0,0,0,0,0,0,0
110,私立,屏東縣,998,66,4,5,43,9,4,1
110,私立,彰化縣,2338,117,1,16,75,17,7,1
110,私立,新北市,8446,325,22,50,141,60,25,27
110,私立,新竹市,4041,114,13,40,41,9,6,5
110,私立,桃園市,10380,411,25,104,210,34,17,21
110,私立,臺中市,12667,481,38,126,163,124,15,15
110,私立,臺北市,7017,207,18,56,29,67,20,17
110,私立,臺南市,5143,225,15,64,56,84,3,3
110,私立,臺東縣,198,12,0,2,8,2,0,0
110,私立,花蓮縣,830,39,10,5,7,10,6,1
110,私立,苗栗縣,1183,29,1,7,13,4,4,0
110,私立,雲林縣,1723,46,3,12,23,6,0,2
110,私立,高雄市,8141,457,39,126,203,50,21,18
