學年度,設立別,學程別,群科別,畢業生人數,正在接受職業訓練人數,正在軍中服役人數,需要工作而未找到人數,補習或準備升學人數,健康不良在家休養人數,準備出國人數,其他人數
102,私立,綜合高中,電機與電子群,1311,1,26,2,7,4,0,6
102,私立,綜合高中,化工群,170,0,0,0,0,0,0,0
102,私立,綜合高中,商業與管理群,2623,4,25,23,11,1,2,18
102,私立,綜合高中,外語群,1243,1,3,2,6,0,2,2
102,私立,綜合高中,設計群,794,1,9,4,7,0,0,1
102,私立,綜合高中,家政群,609,1,4,14,3,1,0,11
102,私立,綜合高中,餐旅群,1570,7,32,21,3,2,0,8
102,私立,綜合高中,藝術群,18,0,1,0,0,0,0,0
102,私立,綜合高中,綜合,278,2,9,3,1,0,0,2
102,私立,實用技能學程,機械群,79,0,18,0,0,0,0,2
102,私立,實用技能學程,動力機械群,1140,1,134,45,12,3,0,35
102,私立,實用技能學程,電機與電子群,643,0,42,32,0,3,0,14
102,私立,實用技能學程,土木與建築群,17,0,0,0,0,0,0,0
102,私立,實用技能學程,商業與管理群,1357,1,83,52,5,7,1,27
102,私立,實用技能學程,設計群,96,0,2,9,0,0,0,0
102,私立,實用技能學程,食品群,140,1,1,27,0,0,1,0
102,私立,實用技能學程,餐旅群,3719,10,188,209,13,10,2,58
102,私立,實用技能學程,美容造型群,1517,21,22,92,11,8,0,23
103,國立,普通科,學術群,34986,2,103,13,731,4,10,23
103,國立,專業群科,機械群,4426,14,106,8,47,2,1,9
103,國立,專業群科,動力機械群,1283,8,91,15,9,1,0,4
103,國立,專業群科,電機與電子群,5081,15,140,26,62,4,2,25
103,國立,專業群科,化工群,1217,4,21,2,9,0,0,1
103,國立,專業群科,土木與建築群,1255,3,23,3,16,0,0,3
103,國立,專業群科,商業與管理群,8054,5,77,41,40,5,1,40
103,國立,專業群科,外語群,942,1,4,3,5,0,0,0
103,國立,專業群科,設計群,1193,0,7,7,11,0,1,5
103,國立,專業群科,農業群,1819,4,35,20,9,3,2,12
103,國立,專業群科,食品群,1414,5,29,9,3,0,0,4
103,國立,專業群科,家政群,1428,5,8,14,4,0,0,5
103,國立,專業群科,餐旅群,1043,4,12,10,6,2,1,5
103,國立,專業群科,水產群,298,0,23,9,6,1,0,1
103,國立,專業群科,海事群,277,5,45,7,3,0,0,1
103,國立,專業群科,藝術群,125,0,6,0,10,0,0,1
103,國立,專業群科,綜合,885,42,4,134,2,13,0,32
103,國立,綜合高中,學術群,5762,0,36,7,101,0,1,8
103,國立,綜合高中,機械群,276,0,4,0,1,0,0,0
103,國立,綜合高中,動力機械群,33,0,0,0,0,0,0,0
103,國立,綜合高中,電機與電子群,430,6,10,4,1,0,0,1
103,國立,綜合高中,化工群,49,0,0,0,0,0,0,0
103,國立,綜合高中,土木與建築群,174,0,1,0,5,1,0,0
103,國立,綜合高中,商業與管理群,1450,0,38,3,11,1,0,15
103,國立,綜合高中,外語群,275,0,0,0,4,0,0,0
103,國立,綜合高中,設計群,447,0,9,4,15,0,0,3
103,國立,綜合高中,農業群,86,0,0,2,2,0,0,0
103,國立,綜合高中,食品群,189,0,2,0,1,0,0,0
103,國立,綜合高中,家政群,135,4,1,0,0,1,0,0
103,國立,綜合高中,餐旅群,586,0,15,14,4,0,1,5
